,,,,,,,,,,,,,,,,Ultraserv Automated Services
,,,,,,,,,,,,,,,,"16722 Parkside Ave, "
,,,,,,,,,,,,,,,,"Cerritos, CA, 90703"
Sales By Products Report,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Start Date,,,,End Date,,,,,,,,,,,Report Date,
2025-12-08,,,,2025-12-22,,,,,,,,,,,12-23-2025 04:03:38 PST,
,,,,,,,,,,,,,,,,
Micromarket,Product,Category,Cost,Selling Price,Total Sold,Total Sales,Sales Tax,Container Deposit,Other Tax,Other Fees,COGS,Subsidy,Gift Amount,Gross Sales,Total COGS,
Desert Palms Market,Coke 20oz,Bev 20 Oz Bottle,1.28,5,11,55,4.26,0.55,0,0,14.08,,0,59.81,18.89,
Ramada Inn Burbank Market,Coke 20oz,Bev 20 Oz Bottle,1.28,2.7,9,24.3,2.55,0.45,0,0,11.52,,0,27.3,14.52,
Ramada Inn Burbank Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.5,19,85.5,8.98,0.95,0,0,24.32,,0,95.43,34.25,
Miyako Torrance Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,6,25.5,2.61,0.3,0,0,7.68,,0,28.41,10.59,
HIE - Manchester Market,Coke 20oz,Bev 20 Oz Bottle,1.28,5,8,40,3.1,0.4,0,0,10.24,,0,43.5,13.74,
Comfort Inn - Anaheim,Coke 20oz,Bev 20 Oz Bottle,1.28,2.55,2,5.1,0.4,0.1,0,0,2.56,,0,5.6,3.06,
Comfort Inn - Anaheim,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,3,12.75,0.99,0.15,0,0,3.84,,0,13.89,4.98,
Ramada Anaheim Convention Center,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,5,21.25,1.65,0.25,0,0,6.4,,0,23.15,8.3,
HIE - Twentynine Palms Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4,8,32,2.48,0.4,0,0,10.24,,0,34.88,13.12,
Ramada National City Market,Coke 20oz,Bev 20 Oz Bottle,1.28,2.4,1,2.4,0.21,0.05,0,0,1.28,,0,2.66,1.54,
Ramada National City Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4,6,24,2.1,0.3,0,0,7.68,,0,26.4,10.08,
Holiday Inn Ontario Airport Market,Coke 20oz,Bev 20 Oz Bottle,1.28,2.7,12,32.4,2.83,0.6,0,0,15.36,,0,35.83,18.79,
Holiday Inn Ontario Airport Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.5,14,63,5.51,0.7,0,0,17.92,,0,69.21,24.13,
City Express Rancho Cucamonga,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,7,29.75,2.31,0.35,0,0,8.96,,0,32.41,11.62,
SureStay by Best Western Ontario Airport,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,10,42.5,3.72,0.5,0,0,12.8,,0,46.72,17.02,
Surestay Twentynine Palms Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4,1,4,0.31,0.05,0,0,1.28,,0,4.36,1.64,
Travelodge Commerce Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,8,34,3.32,0.4,0,0,10.24,,0,37.72,13.96,
Holiday Inn Express San Clemente,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,3,12.75,0.99,0.15,0,0,3.84,,0,13.89,4.98,
Miyako LA Downtown Market,Coke 20oz,Bev 20 Oz Bottle,1.28,2.7,1,2.7,0.26,0.05,0,0,1.28,,0,3.01,1.59,
Miyako LA Downtown Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.5,10,45,4.39,0.5,0,0,12.8,,0,49.89,17.69,
Holiday Inn Express - Lake Forest Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,4,17,1.32,0.2,0,0,5.12,,0,18.52,6.64,
WorldMark - Oceanside Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,10,42.5,3.51,0.5,0,0,12.8,,0,46.51,16.81,
Comfort Suites - San Clemente,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,6,25.5,1.98,0.3,0,0,7.68,,0,27.78,9.96,
Comfort Inn - Huntington Beach,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,3,12.75,0.99,0.15,0,0,3.84,,0,13.89,4.98,
Marina Inn Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,6,25.5,1.98,0.3,0,0,7.68,,0,27.78,9.96,
Best Western - Glendora Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,3,12.75,1.37,0.15,0,0,3.84,,0,14.27,5.36,
Holiday Inn Express Pasadena Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,8,34,3.57,0.4,0,0,10.24,,0,37.97,14.21,
Clarion Hotel Market,Coke 20oz,Bev 20 Oz Bottle,1.28,5,31,155,12.01,1.55,0,0,39.68,,0,168.56,53.24,
Days Inn & Suites Anaheim,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,9,38.25,2.96,0.45,0,0,11.52,,0,41.66,14.93,
WorldMark Indio Activities Center Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,13,55.25,4.83,0.65,0,0,16.64,,199.49,60.73,22.12,
Travelodge LAX South,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,1,4.25,0.41,0.05,0,0,1.28,,0,4.71,1.74,
Best Western Plus Thousand Oaks Inn,Coke 20oz,Bev 20 Oz Bottle,1.28,4,15,60,4.35,0.75,0,0,19.2,,0,65.1,24.3,
Comfort Inn - Moreno Valley,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,8,34,2.98,0.4,0,0,10.24,,0,37.38,13.62,
WorldMark Mission Valley,Coke 20oz,Bev 20 Oz Bottle,1.28,2.7,1,2.7,0.21,0.05,0,0,1.28,,0,2.96,1.54,
WorldMark Mission Valley,Coke 20oz,Bev 20 Oz Bottle,1.28,4.5,8,36,2.79,0.4,0,0,10.24,,0,39.19,13.43,
Holiday Inn Diamond Bar-Pomona,Coke 20oz,Bev 20 Oz Bottle,1.28,4.5,12,54,5.27,0.6,0,0,15.36,,0,59.87,21.23,
Motel 6 Buena Park,Coke 20oz,Bev 20 Oz Bottle,1.28,2.55,1,2.55,0.22,0.05,0,0,1.28,,0,2.82,1.55,
Motel 6 Buena Park,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,5,21.25,1.86,0.25,0,0,6.4,,0,23.36,8.51,
Best Western Diamond Bar,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,4,17,1.66,0.2,0,0,5.12,,0,18.86,6.98,
Kings Inn Anaheim Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.5,16,72,5.58,0.8,0,0,20.48,,0,78.38,26.86,
Best Western Plus Pavilions,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,7,29.75,2.31,0.35,0,0,8.96,,0,32.41,11.62,
Best Western Plus Park Place Anaheim,Coke 20oz,Bev 20 Oz Bottle,1.28,3,1,3,0.23,0.05,0,0,1.28,,0,3.28,1.56,
Best Western Plus Park Place Anaheim,Coke 20oz,Bev 20 Oz Bottle,1.28,5,12,60,4.65,0.6,0,0,15.36,,0,65.25,20.61,
Best Western Plus Stovall's Inn,Coke 20oz,Bev 20 Oz Bottle,1.28,3,2,6,0.47,0.1,0,0,2.56,,0,6.56,3.12,
Best Western Plus Stovall's Inn,Coke 20oz,Bev 20 Oz Bottle,1.28,5,24,120,9.3,1.2,0,0,30.72,,0,130.5,41.22,
Baymont by Wyndham Monterey Park,Coke 20oz,Bev 20 Oz Bottle,1.28,2.55,2,5.1,0.54,0.1,0,0,2.56,,0,5.74,3.2,
Baymont by Wyndham Monterey Park,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,8,34,3.57,0.4,0,0,10.24,,0,37.97,14.21,
Crowne Plaza San Pedro,Coke 20oz,Bev 20 Oz Bottle,1.28,5,29,145,14.14,1.45,0,0,37.12,,0,160.59,52.71,
DoubleTree by Hilton Pomona,Coke 20oz,Bev 20 Oz Bottle,1.28,4.5,10,45,4.72,0.5,0,0,12.8,,0,50.23,18.02,
La Quinta Inn & Suites Pomona,Coke 20oz,Bev 20 Oz Bottle,1.28,2.4,1,2.4,0.25,0.05,0,0,1.28,,0,2.7,1.58,
La Quinta Inn & Suites Pomona,Coke 20oz,Bev 20 Oz Bottle,1.28,4,9,36,3.78,0.45,0,0,11.52,,0,40.23,15.75,
SureStay Plus Hotel By Best Western Upland Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,10,42.5,3.29,0.5,0,0,12.8,,0,46.29,16.59,
Holiday Inn Express & Suites Hesperia Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,7,29.75,2.31,0.35,0,0,8.96,,0,32.41,11.62,
Hawthorn Suites by Wyndham Victorville Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,5,21.25,1.86,0.25,0,0,6.4,,0,23.36,8.51,
Best Western Hesperia Victorville Suites,Coke 20oz,Bev 20 Oz Bottle,1.28,2.55,5,12.75,0.99,0.25,0,0,6.4,,0,13.99,7.64,
Best Western Hesperia Victorville Suites,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,7,29.75,2.31,0.35,0,0,8.96,,0,32.41,11.62,
