Rank,Item Description,Category,Quantity,Amount
1,Coke Zero 12oz,Bev 12 Oz Can,98,77.42
2,Gatorade Fruit Punch 20oz,Bev 20 Oz Bottle,56,78.4
3,Aquafina 16.9oz,Bev Water,41,24.6
4,FR Parfait Mixed Berry,Fresh Food,25,63.75
5,Red Bull Red Watermelon 8.4oz,Bev Energy Drinks,25,48.25
6,Chester's Fries Flamin Hot,Chips,23,19.78
7,Coke 12oz,Bev 12 Oz Can,21,16.8
8,Manzanita Sol Apple 12oz,Bev 12 Oz Can,17,11.9
9,FR SLB Multigrain Turkey & Bacon Club,Fresh Food,15,54.6
10,Cactus Cooler 12oz,Bev 12 Oz Can,14,12.04
11,FR Burrito Breakfast Egg & Sausage,Fresh Food,13,41.21
12,Snapple Zero Sugar Peach Tea 16oz,Bev Other,13,18.85
13,SS Better Bites Bistro Box,Fresh Food,11,37.84
14,FR SLB Triangle Turkey Wheat,Fresh Food,11,28.49
15,SS Pineapple & Tajin,Fresh Food,10,26.5
16,Sprite 12oz,Bev 12 Oz Can,10,7.9
17,String Cheese Frigo,Fresh,10,3.7
18,Monster Zero Ultra 16oz,Bev Energy Drinks,9,15.93
19,FR SLB Salad Chicken Caesar,Fresh Food,8,38.72
20,FR SLB EL Cubano 8oz,Fresh Food,8,32.56
21,Otis Muffin Wild Blueberry,Pastry,8,9.6
22,El Monterey Beef and Bean Burrito,Frozen Food,8,7.44
23,Nature's Bakery Fig Bar Strawberry,Healthy Bars,8,7.44
24,Digiorno Pepperoni Cheese Pizza,Frozen Food,7,27.02
25,Nestle Tollhouse Chocolate Chip Cookie Sandwich,Frozen Ice Cream,7,17.99
26,Vita Coco Pure Coconut Water 500ml,Bev Other,7,16.31
27,FR SLB Triangle PBJ White,Fresh Food,7,14.49
28,Snickers Ice Cream Bar,Frozen Ice Cream,7,8.75
29,Cheetos Flamin Hot,Chips,7,6.02
30,Crystal Geyser 16.9oz,Bev Water,7,2.94
31,Gatorade Cool Blue 20oz,Bev 20 Oz Bottle,6,8.52
32,Bubbly Lime 16oz Cans,Bev Other,6,7.2
33,Minute Maid Apple Juice 12oz,Bev Juice,5,7
34,Gatorade Lemon Lime 20oz,Bev 20 Oz Bottle,5,6.95
35,Doritos Nacho Cheese,Chips,5,4.3
36,FR SLB Sub Turkey & Cheese,Fresh Food,4,14.84
37,Core Power High Protein Shake Chocolate 14oz,Bev Other,4,12.24
38,FTY Double Cheeseburger 5oz,Fresh Food,4,10.48
39,Red Bull 8.4oz,Bev Energy Drinks,4,7.72
40,Maruchan Chicken Cup Soup,Hot Food,4,2.8
41,Kellogs Pop Tarts Strawberry,Snack,4,2.6
42,GF Strawberry & Blueberry Yogurt Parfait,Fresh Food,3,8.79
43,SS Chocolate Peanut Butter Parfait,Fresh Food,3,6.93
44,Fairlife Strawberry Milk 14oz,Bev Other,3,5.28
45,Nature's Bakery Fig Bar Blueberry,Healthy Bars,3,2.79
46,Cheetos Puffs,Chips,3,2.58
47,Maruchan Lime Chili Chicken Cup Soup,Hot Food,3,2.1
48,FTY Cheese Enchilada with Spanish Rice & Beans,Fresh Food,2,8.5
49,FR Burrito Beef,Fresh Food,2,6.46
50,Lunchables Turkey & Cheddar,Fresh,2,4.44
51,Kind Cranberry Almond & Antiox,Healthy Bars,2,3.2
52,Cereal Frosted Flakes,Cereal,2,2.92
53,M&M Peanut,Candy,2,2.64
54,Twix Caramel,Candy,2,2.64
55,Hot Pocket Pepperoni Pizza,Frozen Food,2,2.28
56,Milk Shamrock Lowfat 7oz,Bev Other,2,1.82
57,Maruchan Shrimp Cup Soup,Hot Food,2,1.4
58,FR SLB Triangle Club Wheat,Fresh Food,1,3.79
59,FR Onion Roll Pastrami Reuben,Fresh Food,1,3.72
60,SS Hummus & Friends Snack Box,Fresh Food,1,3.71
61,SS Strawberry Shortcake Dessert,Fresh Food,1,3.04
62,Big Az Cheeseburger Charbroiled,Frozen Food,1,2.54
63,SS Oreo Delight Dessert,Fresh Food,1,2.43
64,Pepto Bismol,Sundry Items,1,2.29
65,RXBAR Protein Blueberry,Healthy Bars,1,1.95
66,Tylenol Extra Strength,Sundry Items,1,1.92
67,Monster 16oz,Bev Energy Drinks,1,1.76
68,El Monterey Egg Sausage Cheese & Potato Burrito,Frozen Food,1,1.4
69,Snickers,Candy,1,1.32
70,Wonderful Pistachios 100Cal Sweet Chili 1.25oz,Nuts,1,1.19
71,Hot Pocket Ham & Cheese,Frozen Food,1,1.14
72,Otis Muffin Banana Nut,Pastry,1,1.03
73,El Monterey Bean and Cheese Burrito,Frozen Food,1,0.93
74,Takis Fuego,Chips,1,0.89
75,Smartfood White Cheddar Popcorn,Chips,1,0.86
76,Doritos Cool Ranch,Chips,1,0.86
77,Lays Limon 1.5oz,Chips,1,0.86
78,Peace Tea Georgia Peach 16oz,Bev Coffee & Tea,1,0.83
79,Salsitas Spicy Chips,Chips,1,0.79
80,Grandmas Chocolate Chip Cookie,Cookies & Crackers,1,0.76
81,Sweet Serenity Chocolate Chip Cookies,Cookies & Crackers,1,0.62
