,,,,,,,,,,,,,,,,Ultraserv Automated Services
,,,,,,,,,,,,,,,,"16722 Parkside Ave, "
,,,,,,,,,,,,,,,,"Cerritos, CA, 90703"
Sales By Products Report,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Start Date,,,,End Date,,,,,,,,,,,Report Date,
2025-09-01,,,,2025-09-30,,,,,,,,,,,12-02-2025 20:51:57 PST,
,,,,,,,,,,,,,,,,
Micromarket,Product,Category,Cost,Selling Price,Total Sold,Total Sales,Sales Tax,Container Deposit,Other Tax,Other Fees,COGS,Subsidy,Gift Amount,Gross Sales,Total COGS,
Desert Palms Market,Coke 20oz,Bev 20 Oz Bottle,1.27,5,15,75,5.81,0.75,0,0,19.05,,0,81.56,25.61,
Desert Palms Market,Coke 20oz,Bev 20 Oz Bottle,1.28,5,42,210,16.28,2.1,0,0,53.76,,0,228.38,72.14,
Ramada Inn Burbank Market,Coke 20oz,Bev 20 Oz Bottle,1.27,2.55,6,15.3,1.61,0.3,0,0,7.62,,0,17.21,9.53,
Ramada Inn Burbank Market,Coke 20oz,Bev 20 Oz Bottle,1.27,4.25,11,46.75,4.91,0.55,0,0,13.97,,0,52.21,19.43,
Ramada Inn Burbank Market,Coke 20oz,Bev 20 Oz Bottle,1.28,2.55,10,25.5,2.68,0.5,0,0,12.8,,0,28.68,15.98,
Ramada Inn Burbank Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,39,165.75,17.41,1.95,0,0,49.92,,0,185.11,69.28,
Miyako Torrance Market,Coke 20oz,Bev 20 Oz Bottle,1.27,4.25,3,12.75,1.31,0.15,0,0,3.81,,0,14.21,5.27,
Miyako Torrance Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,26,110.5,11.33,1.3,0,0,33.28,,0,123.13,45.91,
HIE - Manchester Market,Coke 20oz,Bev 20 Oz Bottle,1.27,5,13,65,5.04,0.65,0,0,16.51,,0,70.69,22.2,
HIE - Manchester Market,Coke 20oz,Bev 20 Oz Bottle,1.28,5,44,220,17.05,2.2,0,0,56.32,,0,239.25,75.57,
Comfort Inn - Anaheim,Coke 20oz,Bev 20 Oz Bottle,1.27,4.25,5,21.25,1.65,0.25,0,0,6.35,,0,23.15,8.25,
Comfort Inn - Anaheim,Coke 20oz,Bev 20 Oz Bottle,1.28,2.55,11,28.05,2.17,0.55,0,0,14.08,,0,30.77,16.8,
Comfort Inn - Anaheim,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,14,59.5,4.61,0.7,0,0,17.92,,0,64.81,23.23,
Ramada Anaheim Convention Center,Coke 20oz,Bev 20 Oz Bottle,1.27,4.25,5,21.25,1.65,0.25,0,0,6.35,,0,23.15,8.25,
Ramada Anaheim Convention Center,Coke 20oz,Bev 20 Oz Bottle,1.28,2.55,1,2.55,0.2,0.05,0,0,1.28,,0,2.8,1.53,
Ramada Anaheim Convention Center,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,18,76.5,5.93,0.9,0,0,23.04,,0,83.33,29.87,
HIE - Twentynine Palms Market,Coke 20oz,Bev 20 Oz Bottle,1.27,2.4,1,2.4,0.19,0.05,0,0,1.27,,0,2.64,1.51,
HIE - Twentynine Palms Market,Coke 20oz,Bev 20 Oz Bottle,1.27,4,4,16,1.24,0.2,0,0,5.08,,0,17.44,6.52,
HIE - Twentynine Palms Market,Coke 20oz,Bev 20 Oz Bottle,1.28,2.4,4,9.6,0.74,0.2,0,0,5.12,,0,10.54,6.06,
HIE - Twentynine Palms Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4,15,60,4.65,0.75,0,0,19.2,,0,65.4,24.6,
Altura HOC 1st Floor Market,Coke 20oz,Bev 20 Oz Bottle,1.28,2.29,3,6.87,0.6,0.15,0,0,3.84,,0,7.62,4.59,
Ramada National City Market,Coke 20oz,Bev 20 Oz Bottle,1.27,4,7,28,2.45,0.35,0,0,8.89,,0,30.8,11.69,
Ramada National City Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4,14,56,4.9,0.7,0,0,17.92,,0,61.6,23.52,
Holiday Inn Ontario Airport Market,Coke 20oz,Bev 20 Oz Bottle,1.27,2.55,7,17.85,1.56,0.35,0,0,8.89,,0,19.76,10.8,
Holiday Inn Ontario Airport Market,Coke 20oz,Bev 20 Oz Bottle,1.27,4.25,14,59.5,5.21,0.7,0,0,17.78,,0,65.41,23.69,
Holiday Inn Ontario Airport Market,Coke 20oz,Bev 20 Oz Bottle,1.28,2.55,12,30.6,2.68,0.6,0,0,15.36,,0,33.88,18.64,
Holiday Inn Ontario Airport Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,59,250.75,21.94,2.95,0,0,75.52,,0,275.64,100.41,
HIE - Rancho Cucamonga Market,Coke 20oz,Bev 20 Oz Bottle,1.27,4.25,1,4.25,0.33,0.05,0,0,1.27,,0,4.63,1.65,
HIE - Rancho Cucamonga Market,Coke 20oz,Bev 20 Oz Bottle,1.28,2.55,1,2.55,0.2,0.05,0,0,1.28,,0,2.8,1.53,
HIE - Rancho Cucamonga Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,10,42.5,3.29,0.5,0,0,12.8,,0,46.29,16.59,
SureStay by Best Western Ontario Airport,Coke 20oz,Bev 20 Oz Bottle,1.27,4.25,7,29.75,2.6,0.35,0,0,8.89,,0,32.7,11.84,
SureStay by Best Western Ontario Airport,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,13,55.25,4.83,0.65,0,0,16.64,,0,60.73,22.12,
Surestay Twentynine Palms Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4,3,12,0.93,0.15,0,0,3.84,,0,13.08,4.92,
Travelodge Commerce Market,Coke 20oz,Bev 20 Oz Bottle,1.27,4.25,4,17,1.66,0.2,0,0,5.08,,0,18.86,6.94,
Travelodge Commerce Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,11,46.75,4.56,0.55,0,0,14.08,,0,51.86,19.19,
Holiday Inn Express San Clemente,Coke 20oz,Bev 20 Oz Bottle,1.27,4.25,5,21.25,1.65,0.25,0,0,6.35,,0,23.15,8.25,
Holiday Inn Express San Clemente,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,15,63.75,4.94,0.75,0,0,19.2,,0,69.44,24.89,
Miyako LA Downtown Market,Coke 20oz,Bev 20 Oz Bottle,1.27,2.55,1,2.55,0.25,0.05,0,0,1.27,,0,2.85,1.57,
Miyako LA Downtown Market,Coke 20oz,Bev 20 Oz Bottle,1.27,4.25,20,85,8.29,1,0,0,25.4,,0,94.29,34.69,
Miyako LA Downtown Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,33,140.25,13.68,1.65,0,0,42.24,,0,155.58,57.57,
Holiday Inn Express - Lake Forest Market,Coke 20oz,Bev 20 Oz Bottle,1.27,4.25,3,12.75,0.99,0.15,0,0,3.81,,0,13.89,4.95,
Holiday Inn Express - Lake Forest Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,5,21.25,1.65,0.25,0,0,6.4,,0,23.15,8.3,
WorldMark - Oceanside Market,Coke 20oz,Bev 20 Oz Bottle,1.27,4.25,3,12.75,1.05,0.15,0,0,3.81,,0,13.95,5.01,
WorldMark - Oceanside Market,Coke 20oz,Bev 20 Oz Bottle,1.28,2.55,1,2.55,0.21,0.05,0,0,1.28,,0,2.81,1.54,
WorldMark - Oceanside Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,2,8.5,0.7,0.1,0,0,2.56,,0,9.3,3.36,
Comfort Suites - San Clemente,Coke 20oz,Bev 20 Oz Bottle,1.27,4.25,10,42.5,3.29,0.5,0,0,12.7,,0,46.29,16.49,
Comfort Suites - San Clemente,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,12,51,3.95,0.6,0,0,15.36,,0,55.55,19.91,
Comfort Inn - Huntington Beach,Coke 20oz,Bev 20 Oz Bottle,1.27,4.25,3,12.75,0.99,0.15,0,0,3.81,,0,13.89,4.95,
Comfort Inn - Huntington Beach,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,14,59.5,4.61,0.7,0,0,17.92,,0,64.81,23.23,
Marina Inn Market,Coke 20oz,Bev 20 Oz Bottle,1.27,4.25,5,21.25,1.65,0.25,0,0,6.35,,0,23.15,8.25,
Marina Inn Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,34,144.5,11.2,1.7,0,0,43.52,,0,157.4,56.42,
Best Western - Glendora Market,Coke 20oz,Bev 20 Oz Bottle,1.27,4.25,3,12.75,1.37,0.15,0,0,3.81,,0,14.27,5.33,
Best Western - Glendora Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,6,25.5,2.74,0.3,0,0,7.68,,0,28.54,10.72,
Holiday Inn Express Pasadena Market,Coke 20oz,Bev 20 Oz Bottle,1.27,4.25,14,59.5,6.25,0.7,0,0,17.78,,0,66.45,24.73,
Holiday Inn Express Pasadena Market,Coke 20oz,Bev 20 Oz Bottle,1.28,4.25,22,93.5,9.82,1.1,0,0,28.16,,0,104.42,39.08,
Clarion Hotel Market,Coke 20oz,Bev 20 Oz Bottle,1.27,5,23,115,8.91,1.15,0,0,29.21,,0,125.06,39.27,
