Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Ultraserv Automated Services
,,,,,,,,,"16722 Parkside Ave, "
,,,,,,,,,"Cerritos, CA, 90703"
Stock Analysis Report,,,,,,,,,
,,,,,,,,,
,,,,,,,,,Report Date
,,,,,,,,,01-01-2026 19:57:36 PST
,,,,,,,,,
Customer/Location,Micromarket,Category,Total Quantity,Max Quantity,Quantity In Percentage,,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Hot Food,28,40,70,,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Fresh Food,7,0,0,,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Pastry,13,24,54.17,,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev 12 Oz Can,91,126,72.22,,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Candy,54,66,81.82,,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev Juice,10,16,62.5,,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Nuts,23,30,76.67,,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Chips,69,94,73.4,,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev Other,19,28,67.86,,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev Water,215,200,107.5,,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev Coffee & Tea,41,44,93.18,,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Cookies & Crackers,6,18,33.33,,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev 20 Oz Bottle,25,42,59.52,,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Bev Energy Drinks,53,60,88.33,,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Fresh,56,76,73.68,,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Healthy Bars,30,30,100,,,,
Altura Credit Union HOC,Altura HOC 1st Floor Market,Snack,21,36,58.33,,,,
,,,761,930,81.83,,,,
,,,,,,,,,
Altura Credit Union HOC,Altura HOC 2nd Floor Market,Bev Water,57,72,79.17,,,,
Altura Credit Union HOC,Altura HOC 2nd Floor Market,Bev Energy Drinks,28,41,68.29,,,,
Altura Credit Union HOC,Altura HOC 2nd Floor Market,Bev Coffee & Tea,4,6,66.67,,,,
Altura Credit Union HOC,Altura HOC 2nd Floor Market,Bev 12 Oz Can,47,67,70.15,,,,
,,,136,186,73.12,,,,
,,,,,,,,,
Anaheim Desert Inn and Suites ,Anaheim Desert Inn and Suites,Chips,245,306,80.07,,,,
Anaheim Desert Inn and Suites ,Anaheim Desert Inn and Suites,Bev Other,111,192,57.81,,,,
Anaheim Desert Inn and Suites ,Anaheim Desert Inn and Suites,Pastry,52,74,70.27,,,,
Anaheim Desert Inn and Suites ,Anaheim Desert Inn and Suites,Healthy Bars,63,72,87.5,,,,
Anaheim Desert Inn and Suites ,Anaheim Desert Inn and Suites,Candy,241,300,80.33,,,,
Anaheim Desert Inn and Suites ,Anaheim Desert Inn and Suites,Cereal,76,90,84.44,,,,
Anaheim Desert Inn and Suites ,Anaheim Desert Inn and Suites,Bev Juice,24,48,50,,,,
Anaheim Desert Inn and Suites ,Anaheim Desert Inn and Suites,Fresh,61,98,62.24,,,,
Anaheim Desert Inn and Suites ,Anaheim Desert Inn and Suites,Nuts,73,96,76.04,,,,
Anaheim Desert Inn and Suites ,Anaheim Desert Inn and Suites,Hot Food,67,84,79.76,,,,
Anaheim Desert Inn and Suites ,Anaheim Desert Inn and Suites,Cookies & Crackers,36,52,69.23,,,,
Anaheim Desert Inn and Suites ,Anaheim Desert Inn and Suites,Frozen Food,109,138,78.99,,,,
Anaheim Desert Inn and Suites ,Anaheim Desert Inn and Suites,Bev 20 Oz Bottle,193,360,53.61,,,,
Anaheim Desert Inn and Suites ,Anaheim Desert Inn and Suites,Snack,166,200,83,,,,
Anaheim Desert Inn and Suites ,Anaheim Desert Inn and Suites,Frozen Ice Cream,122,147,82.99,,,,
Anaheim Desert Inn and Suites ,Anaheim Desert Inn and Suites,Bev Energy Drinks,54,112,48.21,,,,
Anaheim Desert Inn and Suites ,Anaheim Desert Inn and Suites,Sundry Items,202,288,70.14,,,,
Anaheim Desert Inn and Suites ,Anaheim Desert Inn and Suites,Laundry,31,31,100,,,,
Anaheim Desert Inn and Suites ,Anaheim Desert Inn and Suites,Bev Coffee & Tea,11,24,45.83,,,,
Anaheim Desert Inn and Suites ,Anaheim Desert Inn and Suites,Bev Water,252,416,60.58,,,,
Anaheim Desert Inn and Suites ,Anaheim Desert Inn and Suites,Souvenirs Disney,241,58,415.52,,,,
Anaheim Desert Inn and Suites ,Anaheim Desert Inn and Suites,Electronics,4,11,36.36,,,,
,,,2434,3197,76.13,,,,
,,,,,,,,,
Ayres Hotel Anaheim ,Ayres Hotel Anaheim,Cookies & Crackers,26,32,81.25,,,,
Ayres Hotel Anaheim ,Ayres Hotel Anaheim,Bev Energy Drinks,68,80,85,,,,
Ayres Hotel Anaheim ,Ayres Hotel Anaheim,Frozen Ice Cream,131,157,83.44,,,,
Ayres Hotel Anaheim ,Ayres Hotel Anaheim,Healthy Bars,63,72,87.5,,,,
Ayres Hotel Anaheim ,Ayres Hotel Anaheim,Hot Food,65,74,87.84,,,,
Ayres Hotel Anaheim ,Ayres Hotel Anaheim,Bev Coffee & Tea,1,0,0,,,,
Ayres Hotel Anaheim ,Ayres Hotel Anaheim,Bev Water,284,360,78.89,,,,
Ayres Hotel Anaheim ,Ayres Hotel Anaheim,Chips,141,186,75.81,,,,
Ayres Hotel Anaheim ,Ayres Hotel Anaheim,Bev Other,13,21,61.9,,,,
Ayres Hotel Anaheim ,Ayres Hotel Anaheim,Candy Gum & Mints,5,8,62.5,,,,
Ayres Hotel Anaheim ,Ayres Hotel Anaheim,Nuts,42,52,80.77,,,,
Ayres Hotel Anaheim ,Ayres Hotel Anaheim,Cereal,20,20,100,,,,
Ayres Hotel Anaheim ,Ayres Hotel Anaheim,Laundry,22,34,64.71,,,,
Ayres Hotel Anaheim ,Ayres Hotel Anaheim,Snack,50,64,78.13,,,,
Ayres Hotel Anaheim ,Ayres Hotel Anaheim,Bev Beer & Wine,9,0,0,,,,
Ayres Hotel Anaheim ,Ayres Hotel Anaheim,Bev Juice,0,0,0,,,,
Ayres Hotel Anaheim ,Ayres Hotel Anaheim,Frozen Food,114,138,82.61,,,,
Ayres Hotel Anaheim ,Ayres Hotel Anaheim,Sundry Items,190,194,97.94,,,,
Ayres Hotel Anaheim ,Ayres Hotel Anaheim,Souvenirs Disney,11,0,0,,,,
Ayres Hotel Anaheim ,Ayres Hotel Anaheim,Electronics,9,12,75,,,,
Ayres Hotel Anaheim ,Ayres Hotel Anaheim,Candy,140,200,70,,,,
Ayres Hotel Anaheim ,Ayres Hotel Anaheim,Bev 20 Oz Bottle,134,230,58.26,,,,
,,,1538,1934,79.52,,,,
,,,,,,,,,
Ayres Hotel Chino Hills ,Ayres Hotel Chino Hills,Bev Other,28,35,80,,,,
Ayres Hotel Chino Hills ,Ayres Hotel Chino Hills,Chips,126,144,87.5,,,,
Ayres Hotel Chino Hills ,Ayres Hotel Chino Hills,Bev Water,115,234,49.15,,,,
Ayres Hotel Chino Hills ,Ayres Hotel Chino Hills,Electronics,8,12,66.67,,,,
Ayres Hotel Chino Hills ,Ayres Hotel Chino Hills,Sundry Items,180,241,74.69,,,,
Ayres Hotel Chino Hills ,Ayres Hotel Chino Hills,Bev Coffee & Tea,20,24,83.33,,,,
Ayres Hotel Chino Hills ,Ayres Hotel Chino Hills,Bev Energy Drinks,32,63,50.79,,,,
Ayres Hotel Chino Hills ,Ayres Hotel Chino Hills,Frozen Ice Cream,108,131,82.44,,,,
Ayres Hotel Chino Hills ,Ayres Hotel Chino Hills,Snack,68,78,87.18,,,,
Ayres Hotel Chino Hills ,Ayres Hotel Chino Hills,Hot Food,59,74,79.73,,,,
Ayres Hotel Chino Hills ,Ayres Hotel Chino Hills,Frozen Food,35,48,72.92,,,,
Ayres Hotel Chino Hills ,Ayres Hotel Chino Hills,Bev Beer & Wine,434,0,0,,,,
