,,,,,Ultraserv Automated Services,,,
,,,,,"16722 Parkside Ave, ",,,
,,,,,"Cerritos, CA, 90703",,,
Product Rank Report,,,,,,,,
,,,,,,,,
Start Date,,End Date,,Report Date,,,,
2025-12-01,,2025-12-31,,12-23-2025 04:09:58 PST,,,,
,,,,,,,,
Rank,Item Description,Item #,Category,Quantity,Quantity(Previous period),Difference,Status,Amount
1,Smart Water 1L,PC10726,Bev Water,6396,10539,-4143,▼,50362.64
2,Smart Water 20oz,PC00888,Bev Water,4146,6792,-2646,▼,22305.12
3,Coke 20oz,PC00885,Bev 20 Oz Bottle,2194,3881,-1687,▼,9476.37
4,Dasani 20oz,PC11157,Bev Water,2161,3919,-1758,▼,10618.2
5,Dr Pepper 20oz,PC10793,Bev 20 Oz Bottle,1608,2682,-1074,▼,7473.21
6,Coke Diet 20oz,PC00886,Bev 20 Oz Bottle,1337,2195,-858,▼,6127.82
7,Crest Tooth Paste and Brush,PC10907,Sundry Items,1184,1944,-760,▼,8520.7
8,Monster Zero Ultra 16oz,PC10811,Bev Energy Drinks,1176,1783,-607,▼,6775.99
9,Sprite 20oz,PC00887,Bev 20 Oz Bottle,1122,2094,-972,▼,5064.36
10,Life Water Premium 1L,AVR14918,Bev Water,1116,1756,-640,▼,9334
11,San Pellegrino Sparkling Mineral Water 16.9oz,PC19076,Bev Water,1104,1854,-750,▼,5181.65
12,Aquafina 20oz,PC14015,Bev Water,1084,1805,-721,▼,5189.1
13,Nestle Tollhouse Chocolate Chip Cookie Sandwich,PC21853,Frozen Ice Cream,1072,1885,-813,▼,6954.71
14,M&M Peanut,PC10984,Candy,1034,1692,-658,▼,3705.55
15,Crystal Geyser 16.9oz,AVR26014,Bev Water,1004,1374,-370,▼,460.23
16,Coke Zero 20oz,PC10790,Bev 20 Oz Bottle,1001,1963,-962,▼,4512.59
17,Fairlife 2% Reduced Fat Ultra-Filtered Milk 14oz,AVR18528,Bev Other,982,1702,-720,▼,5530.9
18,Red Bull 8.4oz,PC10825,Bev Energy Drinks,911,1491,-580,▼,5074.84
19,Kit Kat King,PC10971,Candy,906,1436,-530,▼,4578.02
20,Haagen Dazs Milk Chocolate Almond Ice Cream Bar,AVR00156,Frozen Ice Cream,863,1431,-568,▼,5633.16
21,Snickers Ice Cream Bar,PC11064,Frozen Ice Cream,858,1428,-570,▼,4588.08
22,Snickers,PC00889,Candy,837,1522,-685,▼,2964.94
23,Gatorade Cool Blue 20oz,PC10798,Bev 20 Oz Bottle,823,1363,-540,▼,4690.19
24,Doritos Nacho Cheese,PC10932,Chips,812,1318,-506,▼,2388.56
25,Reeses PB Cup,PC11043,Candy,792,1281,-489,▼,2756.76
26,Nestle Crunch Dibs,PC11010,Frozen Ice Cream,729,1403,-674,▼,6117.87
27,Ares Liquid Detergent HE,PC16533,Laundry,723,1255,-532,▼,2540.25
28,Maruchan Chicken Cup Soup,PC10989,Hot Food,722,1441,-719,▼,2476.21
29,Red Bull Sugar Free 8.4oz,PC10827,Bev Energy Drinks,719,988,-269,▼,4137.26
30,Fiji Water 16.9oz,PC21854,Bev Water,692,1225,-533,▼,4106.35
31,Twix Caramel,PC11091,Candy,685,1300,-615,▼,2417.91
32,Cheetos Crunchy,PC10889,Chips,647,1319,-672,▼,2087.98
33,Cheetos Flamin Hot,PC10891,Chips,615,1111,-496,▼,2002.92
34,Minute Maid Lemonade 20oz,PC10806,Bev 20 Oz Bottle,609,1139,-530,▼,2739.22
35,Red Vines Original 4oz Peg,PC11042,Candy,598,919,-321,▼,3191.68
36,Doritos Cool Ranch,PC10931,Chips,583,938,-355,▼,1674.78
37,Advil,PC10850,Sundry Items,578,907,-329,▼,3365.1
38,Proud Source Alkaline Spring Water 750ml,AVR17376,Bev Water,571,323,248,▲,5103
39,Hersheys Almond King,PC10955,Candy,562,911,-349,▼,2832.62
40,Monster 16oz,PC10808,Bev Energy Drinks,560,970,-410,▼,2761.87
41,Tylenol Extra Strength,PC11092,Sundry Items,522,841,-319,▼,2996.2
42,Cheetos Flamin Hot Limon,PC10892,Chips,521,858,-337,▼,1650.87
43,Coke Zero 12oz,PC14007,Bev 12 Oz Can,509,781,-272,▼,303.81
44,Hot Pocket Pepperoni Pizza,PC10959,Frozen Food,508,934,-426,▼,1747.54
45,SnakClub Energizer Trail Mix Premium,PC10941,Nuts,498,770,-272,▼,3350.03
46,Dr Pepper Zero 20oz,AVR14655,Bev 20 Oz Bottle,496,757,-261,▼,2479.5
47,Gatorlyte Zero Strawberry Kiwi 20 oz,AVR17700,Bev 20 Oz Bottle,491,953,-462,▼,3249.89
48,Coke 12oz,PC14008,Bev 12 Oz Can,483,770,-287,▼,300.97
49,Knotts Strawberry Cookie,PC10972,Cookies & Crackers,475,833,-358,▼,1673.29
50,Munchies Flamin Hot,PC11004,Chips,475,822,-347,▼,1297.44
51,Red Bull Red Watermelon 8.4oz,AVR17246,Bev Energy Drinks,471,748,-277,▼,2467.69
52,Gatorade Fruit Punch 20oz,PC16271,Bev 20 Oz Bottle,462,826,-364,▼,2581.65
53,Minute Maid Apple Juice 12oz,PC10805,Bev Juice,451,755,-304,▼,2190.43
54,Lays Regular Classic,PC10978,Chips,439,721,-282,▼,1614.98
55,DayQuil,PC10909,Sundry Items,435,527,-92,▼,2559.65
56,Albanese Gummi Bears 12 Flavor - 3.5oz,PC10851,Candy,423,680,-257,▼,2208.46
57,Smartfood White Cheddar Popcorn,PC11063,Chips,418,718,-300,▼,1536.58
58,Fairlife Chocolate Milk 14oz,AVR18526,Bev Other,412,698,-286,▼,2350.81
59,Skittles Fruit,PC11061,Candy,398,712,-314,▼,1556.65
60,Twix Ice Cream Bar 3oz,AVR23097,Frozen Ice Cream,397,680,-283,▼,2183.18
61,Kellogs Pop Tarts Strawberry,PC11035,Snack,394,625,-231,▼,1347.26
62,Core Power High Protein Shake Chocolate 14oz,AVR18758,Bev Other,391,716,-325,▼,2645.82
63,Minute Maid Orange Juice 12oz,PC10807,Bev Juice,390,632,-242,▼,1876.7
64,Life Water Premium 20oz,PC10725,Bev Water,388,626,-238,▼,2246.9
65,Celsius Sparkling Watermelon 12oz,PC10789,Bev Other,379,583,-204,▼,2029.36
66,Nongshim Spicy Shin Noodle Soup,PC11015,Hot Food,374,864,-490,▼,1870.49
67,Sour Patch Kids Watermelon,AVR14634,Candy,373,667,-294,▼,1498.6
68,Nongshim Mild Chicken Noodle Soup,PC11013,Hot Food,370,737,-367,▼,1798.98
69,Cheez-It,PC10894,Snack,368,646,-278,▼,1022.64
70,Otis Muffin Chocolate Chip,PC11025,Pastry,361,516,-155,▼,1227.8
71,Dole Apple Juice,PC14013,Bev Juice,358,638,-280,▼,1686
72,Sweet Serenity Chocolate Chip Cookies,PC11081,Cookies & Crackers,357,684,-327,▼,1150.69
73,Gatorade Zero Glacier Freeze 20oz,PC14016,Bev 20 Oz Bottle,351,638,-287,▼,2095.73
74,Pringles Sour Cream & Onion,PC11039,Chips,347,626,-279,▼,1341.73
75,Milk Shamrock Lowfat 7oz,PC10997,Bev Other,341,625,-284,▼,1118.23
76,Pepsi 20oz,PC10821,Bev 20 Oz Bottle,338,581,-243,▼,1651.5
77,Pringles Original,PC11038,Chips,337,564,-227,▼,1220.32
78,Celsius Sparkling Orange 12oz,PC10788,Bev Other,336,434,-98,▼,1696.21
79,Starbucks Mocha Frappuccino RTD 9.5oz,PC10831,Bev Coffee & Tea,329,540,-211,▼,1880.05
80,El Monterey Beef and Bean Burrito,PC10938,Frozen Food,324,523,-199,▼,1097.65
81,Welchs Mixed Fruit Snack 2.25oz,PC11101,Candy,322,534,-212,▼,1200.47
82,Powerade Mountain Berry Blast 20oz,PC10823,Bev 20 Oz Bottle,311,580,-269,▼,1717.55
83,Nature's Bakery Fig Bar Blueberry,AVR16059,Healthy Bars,307,507,-200,▼,1188.13
84,Rice Krispies Treats Original 1.41oz,PC11045,Snack,307,523,-216,▼,1113.98
85,Pepsi Diet 20 oz,PC11156,Bev 20 Oz Bottle,303,532,-229,▼,1577.35
86,Celsius Sparkling Wild Berry 12oz,AVR19421,Bev Other,299,462,-163,▼,1518.55
87,Otis Muffin Wild Blueberry,PC11026,Pastry,298,394,-96,▼,1036.56
88,Razor,PC10943,Sundry Items,290,444,-154,▼,1680.5
89,Smartfood White Cheddar 1.75oz,AVR00140,Chips,286,455,-169,▼,1732.95
90,Cheetos Puffs,PC10893,Chips,276,514,-238,▼,1058.65
91,Otis Muffin Banana Nut,PC11024,Pastry,276,492,-216,▼,914.1
92,Bounce Fabric Softner,PC16535,Laundry,275,449,-174,▼,961.25
93,Haagen Dazs Chocolate Ice Cream 14oz,AVR17709,Frozen Ice Cream,264,423,-159,▼,3492.75
94,Sour Patch Kids,PC11068,Candy,262,431,-169,▼,963.04
95,Gatorade Lemon Lime 20oz,PC16274,Bev 20 Oz Bottle,254,384,-130,▼,1456.9
96,Pepto Bismol,PC11028,Sundry Items,253,416,-163,▼,1485.44
97,Rold Gold Pretzels Thins Original 3.5oz,AVR00141,Chips,247,365,-118,▼,1513.3
98,Starbucks Vanilla Frapuccino RTD 9.5oz,PC10832,Bev Coffee & Tea,244,396,-152,▼,1403.28
