Customer,Product Code,Product Description,Location,Trans.#,Trans.Date,Transfer Type,Qty,Price,Cost,Amount
,PC00885,Coke 20oz,Stock,,10/06/2025,Quantity Adjustment,18.0,,22.9554,
,PC00885,Coke 20oz,Stock,,10/02/2025,Quantity Adjustment,16.0,,20.4048,
,PC00885,Coke 20oz,Stock,,10/01/2025,Quantity Adjustment,7.0,,8.9271,
,PC00885,Coke 20oz,Stock,,10/29/2025,Quantity Adjustment,12.0,,15.3036,
,PC00885,Coke 20oz,Stock,,10/01/2025,Quantity Adjustment,3.0,,3.8259,
,PC00885,Coke 20oz,Stock,,10/01/2025,Quantity Adjustment,26.0,,33.1578,
,PC00885,Coke 20oz,Stock,,10/30/2025,Quantity Adjustment,20.0,,25.506,
,PC00885,Coke 20oz,Stock,,10/17/2025,Quantity Adjustment,24.0,,30.6072,
,PC00885,Coke 20oz,Stock,,10/08/2025,Quantity Adjustment,24.0,,30.6072,
,PC00885,Coke 20oz,Stock,,10/08/2025,Quantity Adjustment,32.0,,40.8096,
,PC00885,Coke 20oz,Stock,,10/20/2025,Quantity Adjustment,42.0,,53.5626,
,PC00885,Coke 20oz,Stock,,10/07/2025,Quantity Adjustment,10.0,,12.753,
,PC00885,Coke 20oz,Stock,,10/20/2025,Quantity Adjustment,10.0,,12.753,
,PC00885,Coke 20oz,Stock,,10/16/2025,Quantity Adjustment,10.0,,12.753,
,PC00885,Coke 20oz,Stock,,10/15/2025,Quantity Adjustment,25.0,,31.8825,
,PC00885,Coke 20oz,Stock,,10/06/2025,Quantity Adjustment,25.0,,31.8825,
,PC00885,Coke 20oz,Stock,,10/13/2025,Quantity Adjustment,48.0,,61.2144,
,PC00885,Coke 20oz,Stock,,10/23/2025,Quantity Adjustment,48.0,,61.2144,
,PC00885,Coke 20oz,Stock,,10/07/2025,Quantity Adjustment,14.0,,17.8542,
,PC00885,Coke 20oz,Stock,,10/09/2025,Quantity Adjustment,14.0,,17.8542,
,PC00885,Coke 20oz,Stock,,10/08/2025,Quantity Adjustment,18.0,,22.9554,
,PC00885,Coke 20oz,Stock,,10/13/2025,Quantity Adjustment,18.0,,22.9554,
,PC00885,Coke 20oz,Stock,,10/14/2025,Quantity Adjustment,16.0,,20.4048,
,PC00885,Coke 20oz,Stock,,10/13/2025,Quantity Adjustment,43.0,,54.8379,
,PC00885,Coke 20oz,Stock,,10/08/2025,Quantity Adjustment,7.0,,8.9271,
,PC00885,Coke 20oz,Stock,,10/09/2025,Quantity Adjustment,7.0,,8.9271,
,PC00885,Coke 20oz,Stock,,10/16/2025,Quantity Adjustment,12.0,,15.3036,
,PC00885,Coke 20oz,Stock,,10/23/2025,Quantity Adjustment,12.0,,15.3036,
,PC00885,Coke 20oz,Stock,,10/15/2025,Quantity Adjustment,12.0,,15.3036,
