Location,Product ID,Quantity
Stock,AVR27258,11.0
Stock,AVR23051,
Stock,AVR22599,20.0
Stock,AVR16195,
Stock,PC16273,14.0
Stock,PC10800,
Stock,AVR23182,
Stock,AVR15738,
Stock,AVR15664,
Stock,AVR23581,13.0
Stock,PC11049,
Stock,AVR23586,12.0
Stock,AVR23587,13.0
Stock,PC10987,12.0
Stock,PC10724,1.0
Stock,PC11023,2.0
Stock,PC10751,1.0
Stock,PC10744,4.0
Stock,PC10730,3.0
Stock,PC16526,1.0
Stock,PC16525,4.0
Stock,PC10801,16.0
Stock,PC16458,12.0
Stock,PC10824,10.0
Stock,PC16494,5.0
Stock,PC10813,15.0
Stock,AVR25915,6.0
Stock,AVR19466,2.0
Stock,AVR26020,1.0
Stock,AVR26023,19.0
Stock,AVR26246,3.0
Stock,AVR26024,2.0
Stock,AVR26245,2.0
Stock,AVR24555,38.0
Stock,AVR26240,3.0
Stock,AVR22396,1.0
Stock,AVR27341,1.0
Stock,AVR26237,2.0
Stock,AVR15036,1.0
Stock,AVR26232,1.0
Stock,AVR24552,1.0
Stock,AVR25829,15.0
Stock,AVR23419,14.0
Stock,AVR27445,1.0
Stock,AVR28072,36.0
Stock,AVR23420,12.0
Stock,AVR26239,1.0
Stock,AVR17756,1.0
Stock,PC10901,6.0
Stock,PC10794,3.0
Stock,PC10964,3.0
Stock,AVR15564,-2.0
Stock,PC16492,2.0
Stock,AVR15563,3.0
Stock,AVR00149,19.0
Stock,PC18972,34.0
Stock,PC16488,7.0
Stock,PC18962,59.0
Stock,AVR11110,3.0
Stock,PC14009,17.0
Stock,PC10969,15.0
Stock,AVR26220,-1.0
Stock,AVR19420,3.0
Stock,PC10877,16.0
Stock,AVR25677,3.0
Stock,PC11048,7.0
Stock,AVR16661,44.0
Stock,PC16247,-3.0
Stock,AVR06020,7.0
Stock,PC16065,2.0
Stock,PC16275,17.0
Stock,AVR27342,1.0
Stock,AVR17386,28.0
Stock,AVR17375,38.0
Stock,AVR27451,4.0
Stock,AVR26234,2.0
Stock,PC10841,4.0
Stock,AVR28084,1.0
Stock,AVR18728,5.0
Stock,AVR26222,1.0
Stock,AVR23800,82.0
Stock,AVR23799,40.0
Stock,AVR22954,6.0
Stock,AVR21371,72.0
Stock,AVR26217,2.0
Stock,AVR26212,4.0
Stock,AVR20752,8.0
Stock,AVR26221,1.0
Stock,AVR20000,8.0
Stock,PC10935,10.0
Stock,AVR24663,1.0
Stock,PC10725,44.0
Stock,PC11055,1.0
Stock,PC10980,4.0
Stock,PC16495,4.0
Stock,PC10890,4.0
Stock,AVR14918,41.0
Stock,PC16501,4.0
Stock,PC11002,3.0
Stock,AVR15128,8.0
Stock,AVR16884,3.0
Stock,PC10773,66.0
Stock,PC10994,6.0
Stock,AVR17147,9.0
Stock,AVR18525,3.0
Stock,PC11156,14.0
Stock,AVR20398,11.0
Stock,AVR20396,11.0
Stock,PC14014,7.0
Stock,PC16510,13.0
Stock,AVR19999,11.0
Stock,AVR09658,7.0
Stock,AVR19517,1.0
Stock,AVR24556,72.0
Stock,AVR23975,30.0
Stock,AVR23974,61.0
Stock,PC10831,15.0
Stock,PC10906,10.0
Stock,PC10861,7.0
Stock,PC10812,11.0
Stock,PC21202,17.0
Stock,PC21222,13.0
Stock,PC10821,1.0
Stock,AVR27452,14.0
Stock,AVR19421,5.0
Stock,PC11157,67.0
Stock,PC10955,15.0
Stock,PC11163,4.0
Stock,PC11162,16.0
Stock,PC10943,6.0
Stock,AVR19414,2.0
Stock,PC14007,21.0
Stock,PC10972,10.0
Stock,PC16485,8.0
Stock,PC10944,15.0
Stock,AVR23602,6.0
Stock,PC16483,10.0
Stock,PC16475,12.0
Stock,AVR24780,18.0
Stock,AVR19525,13.0
Stock,PC10946,15.0
Stock,PC16274,2.0
Stock,AVR24781,9.0
Stock,PC11010,11.0
Stock,PC16462,3.0
Stock,AVR25510,7.0
Stock,PC16473,5.0
Stock,PC10948,8.0
Stock,AVR19716,2.0
Stock,PC10934,15.0
Stock,PC11087,12.0
Stock,AVR19406,5.0
Stock,PC10968,11.0
Stock,PC10970,7.0
Stock,AVR19515,2.0
Stock,PC11088,7.0
Stock,PC11084,5.0
Stock,PC14013,27.0
Stock,AVR19286,3.0
Stock,PC10936,2.0
Stock,PC10958,6.0
Stock,PC10961,7.0
Stock,AVR19511,9.0
Stock,AVR14634,10.0
Stock,AVR19510,8.0
Stock,AVR19464,8.0
Stock,AVR14641,17.0
Stock,PC11092,10.0
Stock,PC10971,6.0
Stock,PC10793,27.0
Stock,PC10959,5.0
Stock,PC11101,26.0
Stock,AVR19465,10.0
Stock,AVR15434,2.0
Stock,PC10923,2.0
Stock,AVR06055,10.0
Stock,PC14365,17.0
Stock,PC16249,7.0
Stock,PC16250,2.0
Stock,PC10993,10.0
Stock,PC10896,20.0
Stock,PC10931,1.0
Stock,PC16264,2.0
Stock,PC11081,6.0
Stock,PC14364,17.0
Stock,PC14016,9.0
Stock,AVR21356,11.0
Stock,PC10925,10.0
Stock,PC10989,10.0
Stock,PC10895,3.0
Stock,PC10798,12.0
Stock,PC16236,17.0
Stock,PC16246,12.0
Stock,PC16248,5.0
Stock,PC10897,10.0
Stock,PC10988,11.0
Stock,PC10899,6.0
Stock,PC14367,16.0
Stock,PC10997,23.0
Stock,PC16271,3.0
Stock,PC10894,9.0
Stock,PC11068,8.0
Stock,PC10991,24.0
Stock,AVR23097,17.0
Stock,PC10900,7.0
Stock,PC10990,6.0
Stock,PC11005,2.0
Stock,AVR00601,7.0
Stock,PC10888,11.0
Stock,PC10886,8.0
Stock,AVR25676,6.0
Stock,AVR25675,5.0
Stock,AVR24779,6.0
Stock,PC11007,5.0
Stock,AVR24440,9.0
Stock,PC10892,5.0
Stock,PC11008,12.0
Stock,AVR18527,4.0
Stock,AVR18528,15.0
Stock,PC11064,22.0
Stock,PC10788,30.0
Stock,PC10789,6.0
Stock,PC10889,5.0
Stock,PC11004,10.0
Stock,PC10805,12.0
Stock,AVR15123,5.0
Stock,PC10909,12.0
Stock,PC10907,36.0
Stock,PC10893,1.0
Stock,AVR18758,7.0
Stock,PC00886,12.0
Stock,PC14363,2.0
Stock,PC11078,13.0
Stock,PC11074,5.0
Stock,PC11073,3.0
Stock,AVR22118,8.0
Stock,PC16506,3.0
Stock,PC11013,7.0
Stock,AVR25512,33.0
Stock,AVR00156,15.0
Stock,AVR18526,15.0
Stock,PC10891,12.0
Stock,AVR15436,3.0
Stock,AVR25513,10.0
Stock,PC11063,7.0
Stock,PC11011,7.0
Stock,AVR15125,15.0
Stock,AVR26230,1.0
Stock,AVR00141,9.0
