location,product_id,product_name,shrinkage_qty,sales_units
HIE - Rancho Cucamonga Market,PC00888,Smart Water 20oz,77.0,0.0
HIE - Rancho Cucamonga Market,PC11157,Dasani 20oz,47.0,0.0
HIE - Rancho Cucamonga Market,PC10726,Smart Water 1L,40.0,0.0
HIE - Rancho Cucamonga Market,PC00885,Coke 20oz,38.0,0.0
HIE - Rancho Cucamonga Market,PC11064,Snickers Ice Cream Bar,22.0,0.0
HIE - Rancho Cucamonga Market,PC10790,Coke Zero 20oz,21.0,0.0
HIE - Rancho Cucamonga Market,PC00887,Sprite 20oz,19.0,0.0
HIE - Rancho Cucamonga Market,PC00886,Coke Diet 20oz,18.0,0.0
HIE - Rancho Cucamonga Market,PC10825,Red Bull 8.4oz,15.0,0.0
HIE - Rancho Cucamonga Market,PC11010,Nestle Crunch Dibs,14.0,0.0
HIE - Rancho Cucamonga Market,PC10934,Dove Milk Chocolate Almond Bar,13.0,0.0
HIE - Rancho Cucamonga Market,PC10937,El Monterey Bean and Cheese Burrito,11.0,0.0
HIE - Rancho Cucamonga Market,PC10958,Hot Pocket Ham & Cheese,11.0,0.0
HIE - Rancho Cucamonga Market,PC10959,Hot Pocket Pepperoni Pizza,11.0,0.0
HIE - Rancho Cucamonga Market,PC10931,Doritos Cool Ranch,11.0,0.0
HIE - Rancho Cucamonga Market,PC10806,Minute Maid Lemonade 20oz,11.0,0.0
HIE - Rancho Cucamonga Market,PC10891,Cheetos Flamin Hot,11.0,0.0
HIE - Rancho Cucamonga Market,PC10808,Monster 16oz,10.0,0.0
HIE - Rancho Cucamonga Market,PC10793,Dr Pepper 20oz,10.0,0.0
HIE - Rancho Cucamonga Market,PC10888,Chapstick,10.0,0.0
HIE - Rancho Cucamonga Market,PC11092,Tylenol Extra Strength,10.0,0.0
HIE - Rancho Cucamonga Market,PC16506,El Monterey Egg Sausage Cheese & Potato Burrito,10.0,0.0
HIE - Rancho Cucamonga Market,PC10939,El Monterey Jalapeno Egg Cheese Burrito,10.0,0.0
HIE - Rancho Cucamonga Market,PC10852,Alka Seltzer,9.0,0.0
HIE - Rancho Cucamonga Market,PC11020,NyQuil,9.0,0.0
HIE - Rancho Cucamonga Market,PC10962,Jack Links Teriyaki Beef Jerky 70 Cal,8.0,0.0
HIE - Rancho Cucamonga Market,PC10897,Clear Eyes Solution 0.2oz,8.0,0.0
HIE - Rancho Cucamonga Market,PC10909,DayQuil,8.0,0.0
HIE - Rancho Cucamonga Market,PC11015,Nongshim Spicy Shin Noodle Soup,8.0,0.0
HIE - Rancho Cucamonga Market,AVR17709,Haagen Dazs Chocolate Ice Cream 14oz,8.0,0.0
HIE - Rancho Cucamonga Market,PC10932,Doritos Nacho Cheese,8.0,0.0
HIE - Rancho Cucamonga Market,PC10889,Cheetos Crunchy,8.0,0.0
HIE - Rancho Cucamonga Market,PC10972,Knotts Strawberry Cookie,7.0,0.0
HIE - Rancho Cucamonga Market,PC11013,Nongshim Mild Chicken Noodle Soup,7.0,0.0
HIE - Rancho Cucamonga Market,PC10938,El Monterey Beef and Bean Burrito,7.0,0.0
HIE - Rancho Cucamonga Market,PC14014,Digiorno Four Cheese Pizza,6.0,0.0
HIE - Rancho Cucamonga Market,PC11007,Nature Valley Granola Oat & Honey,6.0,0.0
HIE - Rancho Cucamonga Market,PC10850,Advil,6.0,0.0
HIE - Rancho Cucamonga Market,PC11073,Stouffers Mac and Cheese,6.0,0.0
HIE - Rancho Cucamonga Market,PC11088,Trident Spearmint,6.0,0.0
HIE - Rancho Cucamonga Market,PC11038,Pringles Original,6.0,0.0
HIE - Rancho Cucamonga Market,PC11081,Sweet Serenity Chocolate Chip Cookies,6.0,0.0
HIE - Rancho Cucamonga Market,PC10874,Blue Diamond Almonds Smokehouse,6.0,0.0
HIE - Rancho Cucamonga Market,PC10941,SnakClub Energizer Trail Mix Premium,6.0,0.0
HIE - Rancho Cucamonga Market,PC21186,Digiorno Pepperoni Cheese Pizza,5.0,0.0
HIE - Rancho Cucamonga Market,PC10807,Minute Maid Orange Juice 12oz,5.0,0.0
HIE - Rancho Cucamonga Market,PC10884,Cereal Froot Loops,5.0,0.0
HIE - Rancho Cucamonga Market,PC10964,Kars Peanut Almond Cashew Mix,5.0,0.0
HIE - Rancho Cucamonga Market,PC21854,Fiji Water 16.9oz,5.0,0.0
HIE - Rancho Cucamonga Market,PC10886,Cereal Honey Nut Cheerios,5.0,0.0
HIE - Rancho Cucamonga Market,PC11074,Stouffers Lasagna with Meat Sauce,5.0,0.0
HIE - Rancho Cucamonga Market,PC21863,Tums Ultra Berry,5.0,0.0
HIE - Rancho Cucamonga Market,PC10851,Albanese Gummi Bears 12 Flavor - 3.5oz,5.0,0.0
HIE - Rancho Cucamonga Market,PC00889,Snickers,5.0,0.0
HIE - Rancho Cucamonga Market,PC10988,Maruchan Ramen Bowl Soup Hot & Spicy,5.0,0.0
HIE - Rancho Cucamonga Market,PC10989,Maruchan Chicken Cup Soup,5.0,0.0
HIE - Rancho Cucamonga Market,AVR19716,Anker USB-C to Lightning 6ft Cable,4.0,0.0
HIE - Rancho Cucamonga Market,PC11061,Skittles Fruit,4.0,0.0
HIE - Rancho Cucamonga Market,PC11043,Reeses PB Cup,4.0,0.0
HIE - Rancho Cucamonga Market,PC10870,Big Az Cheeseburger Charbroiled,4.0,0.0
HIE - Rancho Cucamonga Market,PC10978,Lays Regular Classic,4.0,0.0
HIE - Rancho Cucamonga Market,PC10971,Kit Kat King,4.0,0.0
