Micromarket,User Name,Date,Product Code,Product,Category,Change Type,Cost,Quantity,Total Product cost,Product price,Total Product Price,Site,TotalCost
The Westin Long Beach,Rony Perez,2025-12-08,AVR26221,FR SLB Thai Beef Pinwheels 9oz,Fresh Food,Overage,4.12,1.0,4.12,14.49,14.49,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR26226,FR SLB Triangle Turkey Wheat,Fresh Food,Overage,2.44,4.0,9.76,8.99,35.96,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR26220,FR SLB Multigrain Turkey & Bacon Club,Fresh Food,Overage,3.49,1.0,3.49,12.99,12.99,,
The Westin Long Beach,Rony Perez,2025-12-08,PC16264,Dole Orange Juice,Bev Juice,Overage,1.54,2.0,3.08,5.75,11.5,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR26222,FR SLB Salad Chicken Caesar,Fresh Food,Overage,4.69,2.0,9.38,16.49,32.98,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR26211,FR Snack Double & Cheese Cup,Fresh Food,Overage,2.76,2.0,5.52,9.49,18.98,,
The Westin Long Beach,Rony Perez,2025-12-08,PC11007,Nature Valley Granola Oat & Honey,Healthy Bars,Overage,0.48,1.0,0.48,3.25,3.25,,
The Westin Long Beach,Rony Perez,2025-12-08,PC11043,Reeses PB Cup,Candy,Overage,1.25,6.0,7.5,4.25,25.5,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10900,Cliff Bar Peanut Butter,Healthy Bars,Overage,1.43,1.0,1.43,4.75,4.75,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR26220,FR SLB Multigrain Turkey & Bacon Club,Fresh Food,Overage,3.49,3.0,10.47,12.99,38.97,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR26212,FR ESL Buffalo Chicken Pinwheels 10.05oz,Fresh Food,Overage,3.29,2.0,6.58,11.49,22.98,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR26227,FR SLB Triangle Ham Wheat,Fresh Food,Overage,2.72,2.0,5.44,8.99,17.98,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR26211,FR Snack Double & Cheese Cup,Fresh Food,Overage,2.76,3.0,8.28,9.49,28.47,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10761,Lunchables Ham & Cheddar,Fresh,Overage,2.08,1.0,2.08,6.5,6.5,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10934,Dove Milk Chocolate Almond Bar,Frozen Ice Cream,Overage,1.81,3.0,5.43,6.25,18.75,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR26226,FR SLB Triangle Turkey Wheat,Fresh Food,Overage,2.44,1.0,2.44,8.99,8.99,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10935,Dove Vanilla Dark Chocolate Bar,Frozen Ice Cream,Overage,1.81,5.0,9.05,6.25,31.25,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR26217,FR SLB Croissant Ham,Fresh Food,Overage,3.7,2.0,7.4,12.99,25.98,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR26221,FR SLB Thai Beef Pinwheels 9oz,Fresh Food,Overage,4.12,2.0,8.24,14.49,28.98,,
The Westin Long Beach,Rony Perez,2025-12-08,PC11026,Otis Muffin Wild Blueberry,Pastry,Overage,0.98,1.0,0.98,3.75,3.75,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10751,FR SLB Triangle Club Wheat,Fresh Food,Overage,2.64,3.0,7.92,8.99,26.97,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10899,Cliff Bar Chocolate Chip,Healthy Bars,Overage,1.42,1.0,1.42,4.75,4.75,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR15125,RXBAR Protein Blueberry,Healthy Bars,Overage,1.8,2.0,3.6,4.75,9.5,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10955,Hersheys Almond King,Candy,Overage,1.72,1.0,1.72,5.75,5.75,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR27341,FR Harvest Chicken Salad with Balsamic Dressing,Fresh Food,Overage,4.94,2.0,9.88,16.49,32.98,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR26232,FR SLB Triangle PBJ White,Fresh Food,Overage,1.92,2.0,3.84,8.99,17.98,,
The Westin Long Beach,Rony Perez,2025-12-08,PC11156,Pepsi Diet 20 oz,Bev 20 Oz Bottle,Overage,1.04,1.0,1.04,6.0,6.0,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10884,Cereal Froot Loops,Cereal,Overage,1.32,1.0,1.32,5.0,5.0,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10934,Dove Milk Chocolate Almond Bar,Frozen Ice Cream,Overage,1.81,5.0,9.05,6.25,31.25,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10894,Cheez-It,Snack,Overage,0.47,1.0,0.47,3.25,3.25,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR26230,FR SLB Triangle Egg Salad Wheat,Fresh Food,Overage,1.99,1.0,1.99,8.99,8.99,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR26250,SS Better Bites Bistro Box,Fresh Food,Overage,3.29,3.0,9.87,11.49,34.47,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10832,Starbucks Vanilla Frapuccino RTD 9.5oz,Bev Coffee & Tea,Overage,1.35,1.0,1.35,6.5,6.5,,
