Location,Product ID,Quantity,Value
Altura HOC 1st Floor Market,AVR11112,2,4.98
Altura HOC 1st Floor Market,AVR14641,12,45.0
Altura HOC 1st Floor Market,AVR14642,7,26.25
Altura HOC 1st Floor Market,AVR16058,2,3.98
Altura HOC 1st Floor Market,AVR17246,4,13.0
Altura HOC 1st Floor Market,AVR22118,5,12.450000000000001
Altura HOC 1st Floor Market,AVR25512,6,11.94
Altura HOC 1st Floor Market,AVR26014,4,3.96
Altura HOC 1st Floor Market,AVR26211,2,10.98
Altura HOC 1st Floor Market,AVR26220,3,20.97
Altura HOC 1st Floor Market,AVR26226,2,9.98
Altura HOC 1st Floor Market,AVR26227,2,10.98
Altura HOC 1st Floor Market,AVR26232,1,3.99
Altura HOC 1st Floor Market,PC00885,3,6.87
Altura HOC 1st Floor Market,PC00888,12,23.88
Altura HOC 1st Floor Market,PC00889,6,11.34
Altura HOC 1st Floor Market,PC10724,1,0.99
Altura HOC 1st Floor Market,PC10726,6,22.740000000000002
Altura HOC 1st Floor Market,PC10732,2,3.38
Altura HOC 1st Floor Market,PC10733,6,10.14
Altura HOC 1st Floor Market,PC10761,23,68.77000000000001
Altura HOC 1st Floor Market,PC10762,10,29.900000000000002
Altura HOC 1st Floor Market,PC10765,30,29.7
Altura HOC 1st Floor Market,PC10788,6,17.94
Altura HOC 1st Floor Market,PC10789,13,38.870000000000005
Altura HOC 1st Floor Market,PC10798,16,44.64
Altura HOC 1st Floor Market,PC10805,8,18.32
Altura HOC 1st Floor Market,PC10807,1,2.29
Altura HOC 1st Floor Market,PC10808,2,6.98
Altura HOC 1st Floor Market,PC10809,5,17.450000000000003
Altura HOC 1st Floor Market,PC10825,8,26.0
Altura HOC 1st Floor Market,PC10827,9,29.25
Altura HOC 1st Floor Market,PC10874,1,1.99
Altura HOC 1st Floor Market,PC10889,9,15.209999999999999
Altura HOC 1st Floor Market,PC10891,25,42.25
Altura HOC 1st Floor Market,PC10893,4,6.76
Altura HOC 1st Floor Market,PC10894,14,18.060000000000002
Altura HOC 1st Floor Market,PC10895,3,3.87
Altura HOC 1st Floor Market,PC10931,1,1.69
Altura HOC 1st Floor Market,PC10932,13,21.97
Altura HOC 1st Floor Market,PC10941,3,11.370000000000001
Altura HOC 1st Floor Market,PC10955,3,7.470000000000001
Altura HOC 1st Floor Market,PC10961,7,16.03
Altura HOC 1st Floor Market,PC10968,1,2.69
Altura HOC 1st Floor Market,PC10971,4,9.96
Altura HOC 1st Floor Market,PC10972,10,19.9
Altura HOC 1st Floor Market,PC10978,4,6.76
Altura HOC 1st Floor Market,PC10984,2,3.78
Altura HOC 1st Floor Market,PC10989,8,7.92
Altura HOC 1st Floor Market,PC10991,12,11.879999999999999
Altura HOC 1st Floor Market,PC11011,1,1.99
Altura HOC 1st Floor Market,PC11013,3,5.97
Altura HOC 1st Floor Market,PC11015,1,1.99
Altura HOC 1st Floor Market,PC11016,1,1.99
Altura HOC 1st Floor Market,PC11024,12,23.88
Altura HOC 1st Floor Market,PC11026,3,6.87
Altura HOC 1st Floor Market,PC11038,2,3.78
Altura HOC 1st Floor Market,PC11039,2,3.78
Altura HOC 1st Floor Market,PC11043,4,7.56
Altura HOC 1st Floor Market,PC11061,1,1.59
Altura HOC 1st Floor Market,PC11081,21,39.69
Altura HOC 1st Floor Market,PC11162,4,11.96
Altura HOC 1st Floor Market,PC14007,19,18.81
Altura HOC 1st Floor Market,PC14008,23,22.77
Altura HOC 1st Floor Market,PC14009,7,6.93
Altura HOC 1st Floor Market,PC14010,7,6.93
Altura HOC 1st Floor Market,PC14011,1,0.99
Altura HOC 1st Floor Market,PC14363,3,3.87
Altura HOC 1st Floor Market,PC16236,7,11.83
Altura HOC 1st Floor Market,PC16246,7,6.93
Altura HOC 1st Floor Market,PC16249,4,3.96
Altura HOC 1st Floor Market,PC16496,8,19.92
Altura HOC 1st Floor Market,PC16523,1,2.29
Altura HOC 2nd Floor Market,AVR17246,5,14.950000000000001
Altura HOC 2nd Floor Market,AVR25512,12,23.88
Altura HOC 2nd Floor Market,AVR26014,29,28.71
Altura HOC 2nd Floor Market,PC00888,30,59.7
Altura HOC 2nd Floor Market,PC10808,1,2.99
Altura HOC 2nd Floor Market,PC10809,1,2.99
Altura HOC 2nd Floor Market,PC10811,2,5.98
Altura HOC 2nd Floor Market,PC10825,5,14.950000000000001
Altura HOC 2nd Floor Market,PC14007,14,13.86
Altura HOC 2nd Floor Market,PC14008,26,25.74
Altura HOC 2nd Floor Market,PC14009,2,1.98
Altura HOC 2nd Floor Market,PC14010,7,6.93
Altura HOC 2nd Floor Market,PC14011,8,7.92
Altura HOC 2nd Floor Market,PC16246,7,6.93
Altura HOC 2nd Floor Market,PC16249,22,21.78
Altura HOC 2nd Floor Market,PC16250,4,3.96
Anaheim Desert Inn and Suites,AVR00156,5,31.75
Anaheim Desert Inn and Suites,AVR06055,3,13.5
Anaheim Desert Inn and Suites,AVR14641,15,89.85
Anaheim Desert Inn and Suites,AVR14642,19,115.75
Anaheim Desert Inn and Suites,AVR14655,29,127.05
Anaheim Desert Inn and Suites,AVR15434,15,62.9
Anaheim Desert Inn and Suites,AVR15436,16,70.5
Anaheim Desert Inn and Suites,AVR16058,3,12.5
Anaheim Desert Inn and Suites,AVR16059,7,28.5
Anaheim Desert Inn and Suites,AVR16128,5,42.5
Anaheim Desert Inn and Suites,AVR17246,45,273.75
Anaheim Desert Inn and Suites,AVR17394,1,6.0
Anaheim Desert Inn and Suites,AVR17700,20,136.0
Anaheim Desert Inn and Suites,AVR17709,4,47.44
Anaheim Desert Inn and Suites,AVR18525,24,138.7
Anaheim Desert Inn and Suites,AVR18526,53,286.05
Anaheim Desert Inn and Suites,AVR18528,98,533.25
Anaheim Desert Inn and Suites,AVR18758,32,219.0
Anaheim Desert Inn and Suites,AVR18805,8,90.0
Anaheim Desert Inn and Suites,AVR18857,7,39.75
Anaheim Desert Inn and Suites,AVR19076,1,21.99
Anaheim Desert Inn and Suites,AVR19286,1,8.5
Anaheim Desert Inn and Suites,AVR19406,1,7.5
Anaheim Desert Inn and Suites,AVR19407,3,25.75
Anaheim Desert Inn and Suites,AVR19414,5,35.25
Anaheim Desert Inn and Suites,AVR19421,36,212.75
Anaheim Desert Inn and Suites,AVR19515,1,26.99
Anaheim Desert Inn and Suites,AVR20024,2,17.0
Anaheim Desert Inn and Suites,AVR20373,2,59.98
Anaheim Desert Inn and Suites,AVR20374,2,59.98
Anaheim Desert Inn and Suites,AVR20385,1,24.99
Anaheim Desert Inn and Suites,AVR20388,1,24.99
Anaheim Desert Inn and Suites,AVR20398,2,19.98
Anaheim Desert Inn and Suites,AVR20399,6,59.94
Anaheim Desert Inn and Suites,AVR20406,1,23.99
Anaheim Desert Inn and Suites,AVR20409,2,51.98
Anaheim Desert Inn and Suites,AVR21355,2,49.98
Anaheim Desert Inn and Suites,AVR23097,9,46.9
Anaheim Desert Inn and Suites,AVR23687,1,20.99
Anaheim Desert Inn and Suites,PC00885,88,369.9
Anaheim Desert Inn and Suites,PC00886,74,321.95
Anaheim Desert Inn and Suites,PC00887,57,252.7
Anaheim Desert Inn and Suites,PC00888,189,1007.3
Anaheim Desert Inn and Suites,PC00889,12,36.4
Anaheim Desert Inn and Suites,PC10726,411,3159.0
Anaheim Desert Inn and Suites,PC10730,3,10.0
Anaheim Desert Inn and Suites,PC10733,16,62.5
Anaheim Desert Inn and Suites,PC10761,17,92.95
Anaheim Desert Inn and Suites,PC10762,15,85.0
Anaheim Desert Inn and Suites,PC10788,14,83.5
Anaheim Desert Inn and Suites,PC10789,28,166.5
Anaheim Desert Inn and Suites,PC10790,63,279.0
Anaheim Desert Inn and Suites,PC10793,81,355.75
Anaheim Desert Inn and Suites,PC10798,55,316.75
Anaheim Desert Inn and Suites,PC10806,28,124.25
Anaheim Desert Inn and Suites,PC10808,38,230.2
Anaheim Desert Inn and Suites,PC10811,76,463.5
Anaheim Desert Inn and Suites,PC10816,17,86.25
Anaheim Desert Inn and Suites,PC10825,70,410.0
Anaheim Desert Inn and Suites,PC10827,54,322.5
Anaheim Desert Inn and Suites,PC10831,62,376.75
Anaheim Desert Inn and Suites,PC10850,27,154.5
Anaheim Desert Inn and Suites,PC10851,11,57.9
Anaheim Desert Inn and Suites,PC10859,9,51.0
Anaheim Desert Inn and Suites,PC10874,3,12.5
Anaheim Desert Inn and Suites,PC10875,3,12.25
Anaheim Desert Inn and Suites,PC10882,5,19.75
Anaheim Desert Inn and Suites,PC10884,18,79.75
Anaheim Desert Inn and Suites,PC10885,3,13.0
Anaheim Desert Inn and Suites,PC10886,12,52.75
Anaheim Desert Inn and Suites,PC10888,6,33.75
Anaheim Desert Inn and Suites,PC10889,10,40.0
Anaheim Desert Inn and Suites,PC10891,11,42.75
Anaheim Desert Inn and Suites,PC10892,21,76.95
Anaheim Desert Inn and Suites,PC10893,10,38.75
Anaheim Desert Inn and Suites,PC10894,25,79.6
Anaheim Desert Inn and Suites,PC10895,6,17.8
Anaheim Desert Inn and Suites,PC10897,4,27.5
Anaheim Desert Inn and Suites,PC10899,6,29.75
Anaheim Desert Inn and Suites,PC10900,5,24.75
Anaheim Desert Inn and Suites,PC10907,27,200.25
Anaheim Desert Inn and Suites,PC10909,32,184.5
Anaheim Desert Inn and Suites,PC10925,11,41.65
Anaheim Desert Inn and Suites,PC10931,18,69.75
Anaheim Desert Inn and Suites,PC10932,31,120.75
Anaheim Desert Inn and Suites,PC10937,2,7.5
Anaheim Desert Inn and Suites,PC10938,2,8.0
Anaheim Desert Inn and Suites,PC10939,2,4.8
Anaheim Desert Inn and Suites,PC10941,10,65.7
Anaheim Desert Inn and Suites,PC10943,7,38.25
Anaheim Desert Inn and Suites,PC10944,1,5.25
Anaheim Desert Inn and Suites,PC10947,10,39.5
Anaheim Desert Inn and Suites,PC10958,6,24.0
Anaheim Desert Inn and Suites,PC10959,8,31.75
Anaheim Desert Inn and Suites,PC10961,4,21.5
Anaheim Desert Inn and Suites,PC10962,5,25.3
Anaheim Desert Inn and Suites,PC10971,12,65.0
Anaheim Desert Inn and Suites,PC10972,10,39.25
Anaheim Desert Inn and Suites,PC10978,21,79.25
Anaheim Desert Inn and Suites,PC10984,15,58.75
Anaheim Desert Inn and Suites,PC10986,8,31.5
Anaheim Desert Inn and Suites,PC10989,31,113.0
Anaheim Desert Inn and Suites,PC10990,8,28.0
Anaheim Desert Inn and Suites,PC10991,9,30.2
Anaheim Desert Inn and Suites,PC11004,16,62.25
Anaheim Desert Inn and Suites,PC11010,26,215.95
Anaheim Desert Inn and Suites,PC11013,7,24.2
Anaheim Desert Inn and Suites,PC11020,12,71.25
Anaheim Desert Inn and Suites,PC11021,4,30.75
Anaheim Desert Inn and Suites,PC11024,2,8.0
Anaheim Desert Inn and Suites,PC11025,14,55.25
Anaheim Desert Inn and Suites,PC11026,10,38.25
Anaheim Desert Inn and Suites,PC11028,7,42.0
Anaheim Desert Inn and Suites,PC11035,12,39.45
Anaheim Desert Inn and Suites,PC11038,9,38.0
Anaheim Desert Inn and Suites,PC11039,16,67.0
Anaheim Desert Inn and Suites,PC11042,16,87.0
Anaheim Desert Inn and Suites,PC11045,4,16.0
Anaheim Desert Inn and Suites,PC11054,3,25.5
Anaheim Desert Inn and Suites,PC11061,17,66.25
Anaheim Desert Inn and Suites,PC11062,9,36.0
Anaheim Desert Inn and Suites,PC11063,6,23.5
Anaheim Desert Inn and Suites,PC11064,17,76.55
Anaheim Desert Inn and Suites,PC11073,6,67.5
Anaheim Desert Inn and Suites,PC11074,1,11.25
Anaheim Desert Inn and Suites,PC11078,7,59.5
Anaheim Desert Inn and Suites,PC11081,2,7.75
Anaheim Desert Inn and Suites,PC11084,34,126.95
Anaheim Desert Inn and Suites,PC11087,8,61.5
Anaheim Desert Inn and Suites,PC11091,15,51.75
Anaheim Desert Inn and Suites,PC11092,32,185.25
Anaheim Desert Inn and Suites,PC11101,15,60.05
Anaheim Desert Inn and Suites,PC11157,118,546.0
Anaheim Desert Inn and Suites,PC14013,17,86.25
Anaheim Desert Inn and Suites,PC14014,1,11.25
Anaheim Desert Inn and Suites,PC14016,45,263.95
Anaheim Desert Inn and Suites,PC14364,12,37.35
Anaheim Desert Inn and Suites,PC16264,14,68.4
Anaheim Desert Inn and Suites,PC16271,25,150.75
Anaheim Desert Inn and Suites,PC16483,24,122.3
Anaheim Desert Inn and Suites,PC16506,5,17.9
Anaheim Desert Inn and Suites,PC16521,6,21.0
Anaheim Desert Inn and Suites,PC16522,5,19.25
Anaheim Desert Inn and Suites,PC16523,2,4.65
Anaheim Desert Inn and Suites,PC16529,3,16.25
Anaheim Desert Inn and Suites,PC16533,9,31.5
Anaheim Desert Inn and Suites,PC16535,6,21.0
Anaheim Desert Inn and Suites,PC21186,6,67.24000000000001
Anaheim Desert Inn and Suites,PC21853,26,167.5
Anaheim Desert Inn and Suites,PC21854,35,189.0
Anaheim Desert Inn and Suites,PC21863,10,58.5
Ayres Hotel Anaheim,AVR00156,29,191.5
Ayres Hotel Anaheim,AVR11110,11,73.25
Ayres Hotel Anaheim,AVR11112,6,39.75
Ayres Hotel Anaheim,AVR14634,23,94.25
Ayres Hotel Anaheim,AVR14655,9,41.5
Ayres Hotel Anaheim,AVR15123,11,63.75
Ayres Hotel Anaheim,AVR15434,2,9.25
Ayres Hotel Anaheim,AVR15436,10,45.75
Ayres Hotel Anaheim,AVR16059,15,65.75
Ayres Hotel Anaheim,AVR16128,4,34.25
Ayres Hotel Anaheim,AVR17246,29,184.25
Ayres Hotel Anaheim,AVR17700,66,466.0
Ayres Hotel Anaheim,AVR17709,15,199.5
Ayres Hotel Anaheim,AVR18528,44,248.0
Ayres Hotel Anaheim,AVR18758,42,297.5
Ayres Hotel Anaheim,AVR18805,9,104.0
Ayres Hotel Anaheim,AVR18857,2,12.5
Ayres Hotel Anaheim,AVR19406,11,84.25
Ayres Hotel Anaheim,AVR19407,23,203.5
Ayres Hotel Anaheim,AVR19408,19,102.0
Ayres Hotel Anaheim,AVR19413,7,35.75
Ayres Hotel Anaheim,AVR19464,8,61.0
Ayres Hotel Anaheim,AVR19465,43,230.4
Ayres Hotel Anaheim,AVR19466,26,140.0
Ayres Hotel Anaheim,AVR19515,5,135.95
