Location,Product Code,Total_Sales_Qty,Total_Sales_Value,Total_In_Qty,Total_In_Cost,Known_Adjustments_Qty,Known_Adjustments_Cost,Implied_Stock_Delta,Shrink_Qty_Approx
Altura HOC 1st Floor Market,AVR11110,0.0,0.0,0.0,0.0,6.0,7.74,0.0,-6.0
Altura HOC 1st Floor Market,AVR11112,2.0,4.98,0.0,0.0,3.0,3.55,-2.0,-5.0
Altura HOC 1st Floor Market,AVR14641,12.0,45.0,0.0,0.0,6.0,14.16,-12.0,-18.0
Altura HOC 1st Floor Market,AVR14642,7.0,26.25,0.0,0.0,10.0,23.6,-7.0,-17.0
Altura HOC 1st Floor Market,AVR15123,0.0,0.0,0.0,0.0,7.0,13.65,0.0,-7.0
Altura HOC 1st Floor Market,AVR16058,2.0,3.98,0.0,0.0,2.0,1.68,-2.0,-4.0
Altura HOC 1st Floor Market,AVR17246,4.0,14.3344,0.0,0.0,1.0,1.78,-4.0,-5.0
Altura HOC 1st Floor Market,AVR18397,0.0,0.0,0.0,0.0,1.0,2.47,0.0,-1.0
Altura HOC 1st Floor Market,AVR22118,5.0,12.450000000000001,0.0,0.0,1.0,1.8,-5.0,-6.0
Altura HOC 1st Floor Market,AVR25512,6.0,12.24,0.0,0.0,7.0,4.78,-6.0,-13.0
Altura HOC 1st Floor Market,AVR26014,4.0,4.16,0.0,0.0,44.0,11.879999999999999,-4.0,-48.0
Altura HOC 1st Floor Market,AVR26211,2.0,10.98,0.0,0.0,7.0,19.32,-2.0,-9.0
Altura HOC 1st Floor Market,AVR26217,0.0,0.0,0.0,0.0,2.0,7.4,0.0,-2.0
Altura HOC 1st Floor Market,AVR26219,0.0,0.0,0.0,0.0,7.0,27.44,0.0,-7.0
Altura HOC 1st Floor Market,AVR26220,3.0,20.97,0.0,0.0,4.0,13.96,-3.0,-7.0
Altura HOC 1st Floor Market,AVR26221,0.0,0.0,0.0,0.0,2.0,8.24,0.0,-2.0
Altura HOC 1st Floor Market,AVR26226,2.0,9.98,0.0,0.0,4.0,9.76,-2.0,-6.0
Altura HOC 1st Floor Market,AVR26227,2.0,10.98,0.0,0.0,4.0,10.88,-2.0,-6.0
Altura HOC 1st Floor Market,AVR26230,0.0,0.0,0.0,0.0,4.0,7.96,0.0,-4.0
Altura HOC 1st Floor Market,AVR26232,1.0,3.99,0.0,0.0,1.0,1.92,-1.0,-2.0
Altura HOC 1st Floor Market,PC00885,3.0,7.6204,0.0,0.0,20.0,25.59,-3.0,-23.0
Altura HOC 1st Floor Market,PC00888,12.0,24.48,0.0,0.0,24.0,30.72,-12.0,-36.0
Altura HOC 1st Floor Market,PC00889,6.0,11.34,0.0,0.0,1.0,1.17,-6.0,-7.0
Altura HOC 1st Floor Market,PC10724,1.0,1.04,0.0,0.0,8.0,3.6799999999999997,-1.0,-9.0
Altura HOC 1st Floor Market,PC10726,6.0,23.04,0.0,0.0,4.0,7.16,-6.0,-10.0
Altura HOC 1st Floor Market,PC10732,2.0,3.38,0.0,0.0,10.0,13.5,-2.0,-12.0
Altura HOC 1st Floor Market,PC10733,6.0,10.14,0.0,0.0,11.0,14.85,-6.0,-17.0
Altura HOC 1st Floor Market,PC10744,0.0,0.0,0.0,0.0,1.0,4.36,0.0,-1.0
Altura HOC 1st Floor Market,PC10751,0.0,0.0,0.0,0.0,1.0,2.64,0.0,-1.0
Altura HOC 1st Floor Market,PC10761,23.0,68.77000000000001,0.0,0.0,0.0,0.0,-23.0,-23.0
Altura HOC 1st Floor Market,PC10762,10.0,29.900000000000002,0.0,0.0,7.0,14.21,-10.0,-17.0
Altura HOC 1st Floor Market,PC10765,30.0,29.7,0.0,0.0,5.0,1.2,-30.0,-35.0
Altura HOC 1st Floor Market,PC10788,6.0,19.8032,0.0,0.0,18.0,38.410000000000004,-6.0,-24.0
Altura HOC 1st Floor Market,PC10789,13.0,42.9064,0.0,0.0,8.0,17.12,-13.0,-21.0
Altura HOC 1st Floor Market,PC10798,16.0,45.44,0.0,0.0,4.0,5.36,-16.0,-20.0
Altura HOC 1st Floor Market,PC10805,8.0,18.72,0.0,0.0,10.0,12.51,-8.0,-18.0
Altura HOC 1st Floor Market,PC10807,1.0,2.34,0.0,0.0,4.0,5.01,-1.0,-5.0
Altura HOC 1st Floor Market,PC10808,2.0,7.7,0.0,0.0,5.0,7.98,-2.0,-7.0
Altura HOC 1st Floor Market,PC10809,5.0,19.2408,0.0,0.0,11.0,17.75,-5.0,-16.0
Altura HOC 1st Floor Market,PC10825,8.0,28.6488,0.0,0.0,11.0,19.58,-8.0,-19.0
Altura HOC 1st Floor Market,PC10827,9.0,32.2344,0.0,0.0,8.0,14.24,-9.0,-17.0
Altura HOC 1st Floor Market,PC10831,0.0,0.0,0.0,0.0,15.0,20.25,0.0,-15.0
Altura HOC 1st Floor Market,PC10874,1.0,1.99,0.0,0.0,2.0,1.74,-1.0,-3.0
Altura HOC 1st Floor Market,PC10889,9.0,15.209999999999999,0.0,0.0,11.0,7.81,-9.0,-20.0
Altura HOC 1st Floor Market,PC10891,25.0,42.25,0.0,0.0,11.0,7.81,-25.0,-36.0
Altura HOC 1st Floor Market,PC10893,4.0,6.76,0.0,0.0,6.0,4.26,-4.0,-10.0
Altura HOC 1st Floor Market,PC10894,14.0,18.060000000000002,0.0,0.0,3.0,1.41,-14.0,-17.0
Altura HOC 1st Floor Market,PC10895,3.0,3.87,0.0,0.0,3.0,1.47,-3.0,-6.0
Altura HOC 1st Floor Market,PC10925,0.0,0.0,0.0,0.0,10.0,7.9,0.0,-10.0
Altura HOC 1st Floor Market,PC10931,1.0,1.69,0.0,0.0,4.0,2.84,-1.0,-5.0
Altura HOC 1st Floor Market,PC10932,13.0,21.97,0.0,0.0,9.0,6.35,-13.0,-22.0
Altura HOC 1st Floor Market,PC10941,3.0,11.370000000000001,0.0,0.0,2.0,4.74,-3.0,-5.0
Altura HOC 1st Floor Market,PC10955,3.0,7.470000000000001,0.0,0.0,2.0,4.35,-3.0,-5.0
Altura HOC 1st Floor Market,PC10961,7.0,16.03,0.0,0.0,2.0,2.8,-7.0,-9.0
Altura HOC 1st Floor Market,PC10965,0.0,0.0,0.0,0.0,3.0,1.68,0.0,-3.0
Altura HOC 1st Floor Market,PC10968,1.0,2.69,0.0,0.0,5.0,7.4,-1.0,-6.0
Altura HOC 1st Floor Market,PC10971,4.0,9.96,0.0,0.0,0.0,0.0,-4.0,-4.0
Altura HOC 1st Floor Market,PC10972,10.0,19.9,0.0,0.0,4.0,2.6300000000000003,-10.0,-14.0
Altura HOC 1st Floor Market,PC10978,4.0,6.76,0.0,0.0,4.0,2.84,-4.0,-8.0
Altura HOC 1st Floor Market,PC10984,2.0,3.78,0.0,0.0,1.0,1.17,-2.0,-3.0
Altura HOC 1st Floor Market,PC10986,0.0,0.0,0.0,0.0,2.0,2.34,0.0,-2.0
Altura HOC 1st Floor Market,PC10989,8.0,7.92,0.0,0.0,2.0,1.22,-8.0,-10.0
Altura HOC 1st Floor Market,PC10991,12.0,11.879999999999999,0.0,0.0,0.0,0.0,-12.0,-12.0
