location,product_id,sales_units,product_name,adj_qty,start_qty,end_qty,expected_qty,shrinkage_qty
HIE - Rancho Cucamonga Market,PC00888,0.0,Smart Water 20oz,0.0,77.0,0.0,77.0,77.0
Ayres Hotel Anaheim,AVR25829,4.0,Beer Kona Big Wave Liquid Aloha 16oz Can,0.0,53.0,1.0,49.0,48.0
Ayres Hotel and Spa Mission Viejo,PC10773,2.0,Beer Budweiser Aluminum Can 16oz,0.0,49.0,0.0,47.0,47.0
HIE - Rancho Cucamonga Market,PC11157,0.0,Dasani 20oz,0.0,47.0,0.0,47.0,47.0
HIE - Rancho Cucamonga Market,PC10726,0.0,Smart Water 1L,0.0,40.0,0.0,40.0,40.0
HIE - Rancho Cucamonga Market,PC00885,0.0,Coke 20oz,0.0,38.0,0.0,38.0,38.0
WorldMark Palm Springs,PC00885,10.0,Coke 20oz,0.0,63.0,16.0,53.0,37.0
Motel 6 Westminster North,PC10726,17.0,Smart Water 1L,0.0,76.0,28.0,59.0,31.0
Long Beach Convention Center Promenade,AVR17376,0.0,Proud Source Alkaline Spring Water 750ml,0.0,599.0,570.0,599.0,29.0
FFI - Moorpark Market,AVR19421,10.0,Celsius Sparkling Wild Berry 12oz,0.0,55.0,20.0,45.0,25.0
FFI - Moorpark Market,PC21854,31.0,Fiji Water 16.9oz,0.0,64.0,10.0,33.0,23.0
Holiday Inn Express & Suites Barstow,PC10726,28.0,Smart Water 1L,0.0,202.0,151.0,174.0,23.0
Comfort Suites Barstow,PC00888,9.0,Smart Water 20oz,0.0,74.0,43.0,65.0,22.0
Courtyard Chino Hills,PC11156,0.0,Pepsi Diet 20 oz,0.0,22.0,0.0,22.0,22.0
HIE - Rancho Cucamonga Market,PC11064,0.0,Snickers Ice Cream Bar,0.0,22.0,0.0,22.0,22.0
HIE - Rancho Cucamonga Market,PC10790,0.0,Coke Zero 20oz,0.0,21.0,0.0,21.0,21.0
Ayres Hotel Anaheim,AVR23419,12.0,Troop Tequila Paloma 200ml,0.0,34.0,1.0,22.0,21.0
Ayres Hotel and Spa Mission Viejo,AVR24556,2.0,Beer Stella Artois Aluminum Can 16oz,0.0,24.0,1.0,22.0,21.0
Holiday Inn Express & Suites Hesperia Market,PC00887,4.0,Sprite 20oz,0.0,50.0,25.0,46.0,21.0
Long Beach Convention Center Promenade,AVR20530,0.0,Aquafina Aluminum Bottle 16oz,0.0,445.0,425.0,445.0,20.0
FFI - Moorpark Market,PC14015,138.0,Aquafina 20oz,0.0,150.0,-8.0,12.0,20.0
San Manuel Service Center,PC00887,3.0,Sprite 20oz,0.0,30.0,7.0,27.0,20.0
Long Beach Convention Center Promenade,PC21853,0.0,Nestle Tollhouse Chocolate Chip Cookie Sandwich,0.0,38.0,18.0,38.0,20.0
Ramada by Wyndham Hawthorne-LA Stadium,PC10793,2.0,Dr Pepper 20oz,0.0,22.0,0.0,20.0,20.0
HIE - Rancho Cucamonga Market,PC00887,0.0,Sprite 20oz,0.0,19.0,0.0,19.0,19.0
Holiday Inn Oceanside Camp Pendleton Area,PC10726,35.0,Smart Water 1L,0.0,171.0,118.0,136.0,18.0
HIE - Rancho Cucamonga Market,PC00886,0.0,Coke Diet 20oz,0.0,18.0,0.0,18.0,18.0
Hotel Dena,Boom Chicka Popcorn Sea Salt 4.8oz,0.0,Boom Chicka Popcorn Sea Salt 4.8oz,0.0,18.0,0.0,18.0,18.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,PC00885,0.0,Coke 20oz,0.0,18.0,1.0,18.0,17.0
Hyatt House Los Angeles-LAX-Manhattan Beach,PC10812,0.0,Mountain Dew 20oz,0.0,16.0,-1.0,16.0,17.0
Ayres Hotel Manhattan Beach Hawthorne,PC10831,0.0,Starbucks Mocha Frappuccino RTD 9.5oz,0.0,16.0,0.0,16.0,16.0
Ayres Hotel Manhattan Beach Hawthorne,PC21202,0.0,Starbucks Caramel Frappuccino RTD 9.5oz,0.0,16.0,0.0,16.0,16.0
