location,total_shrinkage_qty,sales_units,start_qty,end_qty
HIE - Rancho Cucamonga Market,716.0,0.0,716.0,0.0
La Quinta Inn & Suites by Wyndham Thousand Oaks,423.0,0.0,1166.0,765.0
Comfort Inn - Gaslamp Convention Center,197.0,108.0,1144.0,926.0
Holiday Inn Express & Suites Barstow,177.0,267.0,1329.0,907.0
Long Beach Convention Center Promenade,172.0,25.0,4138.0,4383.0
Holiday Inn Oceanside Camp Pendleton Area,159.0,276.0,1500.0,1267.0
Ramada National City Market,154.0,149.0,1081.0,875.0
FFI - Moorpark Market,152.0,635.0,1331.0,721.0
Ayres Hotel Manhattan Beach Hawthorne,146.0,222.0,2224.0,2102.0
Best Western Plus LAX Market,144.0,127.0,1108.0,910.0
Surestay Twentynine Palms Market,142.0,61.0,1079.0,935.0
Ramada by Wyndham Barstow,132.0,128.0,1523.0,1331.0
Courtyard Chino Hills,131.0,73.0,1273.0,1170.0
Best Western Oceanside Inn,121.0,55.0,1343.0,1285.0
Hyatt House Los Angeles-LAX-Manhattan Beach,118.0,439.0,2169.0,1906.0
Holiday Inn Express & Suites Hesperia Market,103.0,278.0,1359.0,1210.0
WorldMark Palm Springs,103.0,175.0,1110.0,983.0
WorldMark Big Bear,101.0,80.0,927.0,850.0
BLVD Hotel & Spa,93.0,444.0,2207.0,2200.0
First Service Residential Shared Services Market,93.0,64.0,509.0,376.0
Holiday Inn Diamond Bar-Pomona,92.0,428.0,1319.0,1013.0
Inn at the Park,92.0,96.0,1002.0,964.0
Ayres Hotel Anaheim,92.0,1089.0,1748.0,1538.0
Anaheim Desert Inn and Suites,86.0,877.0,2872.0,2434.0
Ayres Hotel and Spa Mission Viejo,86.0,878.0,1108.0,916.0
Crowne Plaza San Diego-Mission Valley,86.0,803.0,2006.0,2083.0
Queens Inn Anaheim,83.0,58.0,602.0,588.0
Lincoln Hotel Monterey Park,77.0,160.0,1244.0,1245.0
Motel 6 Westminster North,74.0,253.0,1059.0,983.0
Holiday Inn Express & Suites San Dimas,73.0,280.0,1012.0,807.0
MainStay Suites Moreno Valley,73.0,81.0,702.0,634.0
Motel 6 Carson,71.0,657.0,2128.0,2026.0
WorldMark San Diego Balboa Park,71.0,177.0,1158.0,1216.0
Comfort Inn - Moreno Valley,68.0,160.0,929.0,819.0
Ramada by Wyndham Hawthorne-LA Stadium,66.0,400.0,910.0,776.0
WorldMark - Oceanside Market,66.0,349.0,1257.0,1303.0
Embassy Suites by Hilton Palm Desert,66.0,329.0,2146.0,2114.0
Desert Palms Market,62.0,1024.0,2957.0,3151.0
Holiday Inn Express Port Hueneme,60.0,337.0,1071.0,820.0
SureStay by Best Western Ontario Airport,59.0,147.0,814.0,796.0
Best Western Plus Redondo Beach Inn,59.0,143.0,1256.0,1243.0
Best Western Plus Meridian Market,59.0,632.0,1438.0,1323.0
Dolphin's Cove,56.0,337.0,1108.0,1016.0
Travelodge Commerce Market,56.0,115.0,547.0,673.0
WorldMark Palm Springs Plaza Resort & Spa,56.0,165.0,1183.0,1254.0
San Manuel Service Center,54.0,501.0,586.0,556.0
Hilton Garden Inn-Home2 Suites Anaheim Resort,53.0,3460.0,3284.0,2992.0
Altura HOC 1st Floor Market,53.0,159.0,765.0,761.0
Best Western Norwalk Inn,52.0,157.0,898.0,724.0
Quality Inn & Suites Camarillo-Oxnard,48.0,146.0,714.0,629.0
Club Wyndham Harbour Lights,46.0,146.0,839.0,841.0
Clarion Hotel Market,45.0,2372.0,2768.0,2696.0
Motel 6 Anaheim Maingate Market,44.0,1600.0,2212.0,2033.0
Bobrick Market,43.0,957.0,-108.0,-280.0
Cimarron Resort Condominium Association,43.0,10.0,386.0,402.0
Four Points Sheraton - Ventura,42.0,472.0,1678.0,1442.0
Days Inn & Suites Anaheim,41.0,334.0,754.0,589.0
SureStay Plus Hotel By Best Western Upland Market,40.0,224.0,651.0,561.0
Hotel Dena,40.0,1540.0,4008.0,3981.0
SureStay Hotel by Best Western Beverly Hills,40.0,146.0,1025.0,947.0
"Sandbourne Santa Monica, Autograph Collection",39.0,1965.0,2920.0,2442.0
The Hotel Amarano Burbank-Hollywood,39.0,545.0,1666.0,1569.0
Comfort Suites Barstow,38.0,200.0,1203.0,1201.0
HIE - Manchester Market,36.0,766.0,1066.0,1055.0
Embassy Suites by Hilton Anaheim North,36.0,2406.0,2509.0,2251.0
Executive Residency by Best Western Victorville,35.0,112.0,1013.0,1201.0
Best Western Plus Pavilions,35.0,342.0,539.0,429.0
Baymont by Wyndham Monterey Park,34.0,219.0,498.0,513.0
Fairfield by Marriott Anaheim North-Buena Park,34.0,494.0,1091.0,1012.0
Comfort Inn & Suites Near Universal N. Hollywood,33.0,325.0,1079.0,918.0
Best Western Plus Heritage Inn Rancho Cucamonga,33.0,656.0,1021.0,970.0
Motel 6 Carlsbad,32.0,366.0,1907.0,2022.0
Sheraton Gateway Los Angeles Hotel,31.0,1465.0,3507.0,3863.0
Best Western - Glendora Market,30.0,165.0,522.0,404.0
Del Sol Inn Anaheim,30.0,764.0,1762.0,1537.0
Holiday Inn & Suites Anaheim,30.0,3192.0,2811.0,2835.0
E-Central Downtown Los Angeles Hotel,30.0,1394.0,2226.0,2147.0
Holiday Inn Express & Suites Ventura,29.0,622.0,1316.0,973.0
Homewood Suites by Hilton Carlsbad,29.0,320.0,969.0,975.0
Comfort Inn - Huntington Beach,29.0,230.0,789.0,845.0
