Location,Product ID,Quantity_Start,Quantity_End,Total_Depletion,Sales_Quantity,Sales_Value,Known_Adjustments_Qty,Shrinkage_Qty,Implied_Unit_Price,Shrinkage_Value
Stock,PC16463,910.0,0.0,910.0,0.0,0.0,0.0,910.0,1.068,971.8800000000001
Stock,AVR20530,605.0,0.0,605.0,0.0,0.0,0.0,605.0,7.0,4235.0
Stock,AVR17376,570.0,0.0,570.0,0.0,0.0,0.0,570.0,9.260504201680673,5278.487394957983
Stock,PC14366,332.0,0.0,332.0,0.0,0.0,0.0,332.0,0.0,0.0
Stock,AVR26014,304.0,8.0,296.0,0.0,0.0,0.0,296.0,0.45211538461538464,133.82615384615386
Stock,PC10849,263.0,0.0,263.0,0.0,0.0,0.0,263.0,3.0,789.0
Stock,PC16493,209.0,0.0,209.0,0.0,0.0,0.0,209.0,0.0,0.0
Stock,PC11022,201.0,5.0,196.0,0.0,0.0,0.0,196.0,3.7,725.2
Stock,PC10726,202.0,66.0,136.0,0.0,0.0,0.0,136.0,7.703359073359073,1047.656833976834
Stock,AVR21365,118.0,0.0,118.0,0.0,0.0,0.0,118.0,5.7272727272727275,675.8181818181819
Stock,AVR22951,90.0,0.0,90.0,0.0,0.0,0.0,90.0,7.0,630.0
Stock,PC16473,90.0,5.0,85.0,0.0,0.0,0.0,85.0,2.282142857142857,193.98214285714286
Stock,AVR14918,125.0,41.0,84.0,0.0,0.0,0.0,84.0,8.329232995658465,699.655571635311
Stock,PC14015,104.0,20.0,84.0,0.0,0.0,0.0,84.0,4.864611872146119,408.627397260274
Stock,AVR23588,75.0,0.0,75.0,0.0,0.0,0.0,75.0,0.0,0.0
Stock,AVR19420,75.0,3.0,72.0,0.0,0.0,0.0,72.0,5.735542168674699,412.9590361445783
Stock,PC14011,70.0,2.0,68.0,0.0,0.0,0.0,68.0,0.8530232558139534,58.005581395348834
Stock,AVR21367,56.0,0.0,56.0,0.0,0.0,0.0,56.0,5.333333333333333,298.66666666666663
Stock,AVR19525,63.0,13.0,50.0,0.0,0.0,0.0,50.0,9.36111111111111,468.05555555555554
Stock,AVR17246,42.0,2.0,40.0,0.0,0.0,0.0,40.0,5.280643939393939,211.22575757575757
Stock,AVR23584,37.0,0.0,37.0,0.0,0.0,0.0,37.0,6.5,240.5
Stock,PC10861,44.0,7.0,37.0,0.0,0.0,0.0,37.0,9.422272727272727,348.6240909090909
Stock,AVR21366,33.0,0.0,33.0,0.0,0.0,0.0,33.0,5.0,165.0
Stock,AVR20336,35.0,4.0,31.0,0.0,0.0,0.0,31.0,4.208333333333333,130.45833333333331
Stock,PC10788,60.0,30.0,30.0,0.0,0.0,0.0,30.0,5.328196721311476,159.84590163934428
Stock,PC10970,32.0,7.0,25.0,0.0,0.0,0.0,25.0,5.430555555555555,135.76388888888889
Stock,PC11040,23.0,0.0,23.0,0.0,0.0,0.0,23.0,3.875,89.125
Stock,PC10969,36.0,15.0,21.0,0.0,0.0,0.0,21.0,5.328125,111.890625
Stock,AVR23583,20.0,0.0,20.0,0.0,0.0,0.0,20.0,7.0,140.0
Stock,PC10900,27.0,7.0,20.0,0.0,0.0,0.0,20.0,4.4875384615384615,89.75076923076924
Stock,PC14010,35.0,15.0,20.0,0.0,0.0,0.0,20.0,0.6439583333333333,12.879166666666666
Stock,AVR00601,26.0,7.0,19.0,0.0,0.0,0.0,19.0,5.994140625,113.888671875
Stock,AVR16059,21.0,2.0,19.0,0.0,0.0,0.0,19.0,3.8168686868686867,72.52050505050505
Stock,PC10811,28.0,9.0,19.0,0.0,0.0,0.0,19.0,5.709907749077491,108.48824723247233
Stock,PC16533,20.0,4.0,16.0,0.0,0.0,0.0,16.0,3.451101928374656,55.21763085399449
Stock,AVR23602,21.0,6.0,15.0,0.0,0.0,0.0,15.0,5.494047619047619,82.41071428571428
Stock,PC11068,23.0,8.0,15.0,0.0,0.0,0.0,15.0,3.792651515151515,56.88977272727273
Stock,PC16264,17.0,2.0,15.0,0.0,0.0,0.0,15.0,4.92484126984127,73.87261904761905
