SKU,Product,From,To,Qty
AVR00149,Schweppe's Ginger Ale 20oz,The Westin Long Beach,The Westin Long Beach,1.0
AVR09658,Mountain Diet Dew 20oz,The Westin Long Beach,The Westin Long Beach,1.0
AVR14634,Sour Patch Kids Watermelon,The Westin Long Beach,The Westin Long Beach,5.0
AVR14642,Hillshire Genoa Salame,The Westin Long Beach,The Westin Long Beach,1.0
AVR14655,Dr Pepper Zero 20oz,The Westin Long Beach,The Westin Long Beach,1.0
AVR15123,Bare Baked Crunchy Cinnamon Apple Chips,The Westin Long Beach,The Westin Long Beach,2.0
AVR15125,RXBAR Protein Blueberry,The Westin Long Beach,The Westin Long Beach,4.0
AVR15436,Cereal Lucky Charms,The Westin Long Beach,The Westin Long Beach,5.0
AVR17709,Haagen Dazs Chocolate Ice Cream 14oz,The Westin Long Beach,The Westin Long Beach,1.0
AVR19999,Pepsi Zero Sugar 20oz,The Westin Long Beach,The Westin Long Beach,1.0
AVR20000,Dole Lemonade 20oz,The Westin Long Beach,The Westin Long Beach,4.0
AVR20024,Burt's Bees Cucumber & Mint Facial Towelettes,The Westin Long Beach,The Westin Long Beach,1.0
AVR20752,Dreyer's Oreo Bar 2.75oz,The Westin Long Beach,The Westin Long Beach,3.0
AVR21371,Path Water WLB 20.3oz,The Westin Long Beach,The Westin Long Beach,9.0
AVR26211,FR Snack Double & Cheese Cup,The Westin Long Beach,The Westin Long Beach,6.0
AVR26212,FR ESL Buffalo Chicken Pinwheels 10.05oz,The Westin Long Beach,The Westin Long Beach,3.0
AVR26217,FR SLB Croissant Ham,The Westin Long Beach,The Westin Long Beach,2.0
AVR26220,FR SLB Multigrain Turkey & Bacon Club,The Westin Long Beach,The Westin Long Beach,4.0
AVR26221,FR SLB Thai Beef Pinwheels 9oz,The Westin Long Beach,The Westin Long Beach,3.0
AVR26222,FR SLB Salad Chicken Caesar,The Westin Long Beach,The Westin Long Beach,3.0
AVR26225,FR SLB Sub Turkey & Cheese,The Westin Long Beach,The Westin Long Beach,2.0
AVR26226,FR SLB Triangle Turkey Wheat,The Westin Long Beach,The Westin Long Beach,5.0
AVR26227,FR SLB Triangle Ham Wheat,The Westin Long Beach,The Westin Long Beach,2.0
AVR26229,FR SLB Triangle Tuna Salad Wheat,The Westin Long Beach,The Westin Long Beach,1.0
AVR26230,FR SLB Triangle Egg Salad Wheat,The Westin Long Beach,The Westin Long Beach,1.0
AVR26232,FR SLB Triangle PBJ White,The Westin Long Beach,The Westin Long Beach,2.0
AVR26250,SS Better Bites Bistro Box,The Westin Long Beach,The Westin Long Beach,1.0
AVR27341,FR Harvest Chicken Salad with Balsamic Dressing,The Westin Long Beach,The Westin Long Beach,1.0
AVR27452,Muscle Milk Vanilla 14oz,The Westin Long Beach,The Westin Long Beach,1.0
PC10730,Chobani Blueberry,The Westin Long Beach,The Westin Long Beach,1.0
PC10732,Chobani Peach,The Westin Long Beach,The Westin Long Beach,1.0
PC10751,FR SLB Triangle Club Wheat,The Westin Long Beach,The Westin Long Beach,3.0
PC10761,Lunchables Ham & Cheddar,The Westin Long Beach,The Westin Long Beach,1.0
PC10762,Lunchables Turkey & Cheddar,The Westin Long Beach,The Westin Long Beach,1.0
PC10812,Mountain Dew 20oz,The Westin Long Beach,The Westin Long Beach,1.0
PC10832,Starbucks Vanilla Frapuccino RTD 9.5oz,The Westin Long Beach,The Westin Long Beach,1.0
PC10851,Albanese Gummi Bears 12 Flavor - 3.5oz,The Westin Long Beach,The Westin Long Beach,1.0
PC10852,Alka Seltzer,The Westin Long Beach,The Westin Long Beach,1.0
PC10855,SnakClub Almonds Raw Premium Pack,The Westin Long Beach,The Westin Long Beach,4.0
PC10866,Benadryl,The Westin Long Beach,The Westin Long Beach,1.0
PC10874,Blue Diamond Almonds Smokehouse,The Westin Long Beach,The Westin Long Beach,1.0
PC10884,Cereal Froot Loops,The Westin Long Beach,The Westin Long Beach,1.0
PC10885,Cereal Frosted Flakes,The Westin Long Beach,The Westin Long Beach,1.0
PC10894,Cheez-It,The Westin Long Beach,The Westin Long Beach,1.0
PC10895,Chex Mix,The Westin Long Beach,The Westin Long Beach,1.0
PC10899,Cliff Bar Chocolate Chip,The Westin Long Beach,The Westin Long Beach,2.0
PC10900,Cliff Bar Peanut Butter,The Westin Long Beach,The Westin Long Beach,3.0
PC10907,Crest Tooth Paste and Brush,The Westin Long Beach,The Westin Long Beach,3.0
PC10909,DayQuil,The Westin Long Beach,The Westin Long Beach,1.0
PC10934,Dove Milk Chocolate Almond Bar,The Westin Long Beach,The Westin Long Beach,15.0
PC10935,Dove Vanilla Dark Chocolate Bar,The Westin Long Beach,The Westin Long Beach,10.0
PC10955,Hersheys Almond King,The Westin Long Beach,The Westin Long Beach,1.0
PC10986,M&M Plain,The Westin Long Beach,The Westin Long Beach,4.0
